,ID,Floor,Covered parking spaces,Outdoor parking spaces,Surroundings type,Living area,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bathrooms,Toilets,Terrace surface,Terrace orientation,Primary energy consumption,Energy class,CO₂ emission,Yearly theoretical total energy consumption,Tenement building,Address,Living room surface,Elevator,TV cable,Heating type,Double glazing,Price,Kitchen type,Kitchen surface,Construction year,Building condition,Basement,Thermic solar panels,Number of frontages,Swimming pool,Street frontage width,Dressing room,Laundry room,Planning permission obtained,Subdivision permit,Monthly charges,Cadastral income,Office,Heat pump,Photovoltaic solar panels,Common water heater,Garden,Terrace,Bedroom 4 surface,Jacuzzi,Sauna,Office surface,Number of annexes,Living room surfacea
272,9178170,2.0,,,Countryside,88,2.0,12,9,,1.0,1.0,10,South West,,A,Not specified,Not specified,No,Rue Isolée 1/1 6250- Aiseau,39m² square meters,Yes,Yes,Gas,,221686.0,Hyper equipped,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,39
274,9178214,2.0,,,Countryside,120,3.0,19,11,10,1.0,1.0,29,South East,,A,Not specified,Not specified,No,Rue Isolée 1/1 6250- Aiseau,43m² square meters,Yes,Yes,Gas,,329128.0,Hyper equipped,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,43
285,9179792,1.0,,,,88,2.0,,,,1.0,,5,,,Not specified,Not specified,Not specified,No,Place des Tilleuls 3 5300- Andenne,,Yes,,,,212500.0,Not installed,,,,,,,,,,,,,,,,,,,,,,,,,,
286,9179795,1.0,,,,65,1.0,,,,1.0,,10,,,Not specified,Not specified,Not specified,No,Place des Tilleuls 3 5300- Andenne,,Yes,,,,175500.0,Not installed,,,,,,,,,,,,,,,,,,,,,,,,,,
287,9179793,1.0,,,,61,1.0,,,,1.0,,5,,,Not specified,Not specified,Not specified,No,Place des Tilleuls 3 5300- Andenne,,Yes,,,,162000.0,Not installed,,,,,,,,,,,,,,,,,,,,,,,,,,
288,9179794,1.0,,,,91,2.0,,,,1.0,,5,,,Not specified,Not specified,Not specified,No,Place des Tilleuls 3 5300- Andenne,,Yes,,,,216800.0,Not installed,,,,,,,,,,,,,,,,,,,,,,,,,,
289,9179796,1.0,,,,92,2.0,,,,1.0,,5,,,Not specified,Not specified,Not specified,No,Place des Tilleuls 3 5300- Andenne,,Yes,,,,218500.0,Not installed,,,,,,,,,,,,,,,,,,,,,,,,,,
290,9179799,1.0,,,,97,2.0,,,,1.0,,9,,,Not specified,Not specified,Not specified,No,Place des Tilleuls 3 5300- Andenne,,Yes,,,,228500.0,Not installed,,,,,,,,,,,,,,,,,,,,,,,,,,
291,9179798,1.0,,,,59,1.0,,,,1.0,,5,,,Not specified,Not specified,Not specified,No,Place des Tilleuls 3 5300- Andenne,,Yes,,,,158500.0,Not installed,,,,,,,,,,,,,,,,,,,,,,,,,,
292,9179797,1.0,,,,59,1.0,,,,1.0,,5,,,Not specified,Not specified,Not specified,No,Place des Tilleuls 3 5300- Andenne,,Yes,,,,158500.0,Not installed,,,,,,,,,,,,,,,,,,,,,,,,,,
293,9179800,2.0,,,,88,2.0,,,,1.0,,5,,,Not specified,Not specified,Not specified,No,Place des Tilleuls 3 5300- Andenne,,Yes,,,,215500.0,Not installed,,,,,,,,,,,,,,,,,,,,,,,,,,
294,9179801,2.0,,,,61,1.0,,,,1.0,,5,,,Not specified,Not specified,Not specified,No,Place des Tilleuls 3 5300- Andenne,,,,,,164000.0,Not installed,,,,,,,,,,,,,,,,,,,,,,,,,,
295,9179803,2.0,,,,65,1.0,,,,1.0,,14,,,Not specified,Not specified,Not specified,No,Place des Tilleuls 3 5300- Andenne,,Yes,,,,178500.0,Not installed,,,,,,,,,,,,,,,,,,,,,,,,,,
296,9179805,2.0,,,,59,1.0,,,,1.0,,5,,,Not specified,Not specified,Not specified,No,Place des Tilleuls 3 5300- Andenne,,Yes,,,,160500.0,Not installed,,,,,,,,,,,,,,,,,,,,,,,,,,
297,9179802,2.0,,,,91,2.0,,,,1.0,,5,,,Not specified,Not specified,Not specified,No,Place des Tilleuls 3 5300- Andenne,,Yes,,,,219600.0,Not installed,,,,,,,,,,,,,,,,,,,,,,,,,,
298,9179804,2.0,,,,92,2.0,,,,1.0,,5,,,Not specified,Not specified,Not specified,No,Place des Tilleuls 3 5300- Andenne,,Yes,,,,221000.0,Not installed,,,,,,,,,,,,,,,,,,,,,,,,,,
299,9179807,2.0,,,,97,2.0,,,,1.0,,9,,,Not specified,Not specified,Not specified,No,Place des Tilleuls 3 5300- Andenne,,Yes,,,,232000.0,Not installed,,,,,,,,,,,,,,,,,,,,,,,,,,
300,9179808,3.0,,,,88,2.0,,,,1.0,,5,,,Not specified,Not specified,Not specified,No,Place des Tilleuls 3 5300- Andenne,,Yes,,,,219500.0,Not installed,,,,,,,,,,,,,,,,,,,,,,,,,,
301,9179810,3.0,,,,91,2.0,,,,1.0,,5,,,Not specified,Not specified,Not specified,No,Place des Tilleuls 3 5300- Andenne,,Yes,,,,222400.0,Not installed,,,,,,,,,,,,,,,,,,,,,,,,,,
302,9179809,3.0,,,,61,1.0,,,,1.0,,5,,,Not specified,Not specified,Not specified,No,Place des Tilleuls 3 5300- Andenne,,Yes,,,,166500.0,Not installed,,,,,,,,,,,,,,,,,,,,,,,,,,
303,9179813,3.0,,,,59,1.0,,,,1.0,,5,,,Not specified,Not specified,Not specified,No,Place des Tilleuls 3 5300- Andenne,,Yes,,,,162800.0,Not installed,,,,,,,,,,,,,,,,,,,,,,,,,,
304,9179812,3.0,,,,92,2.0,,,,1.0,,5,,,Not specified,Not specified,Not specified,No,Place des Tilleuls 3 5300- Andenne,,Yes,,,,223800.0,Not installed,,,,,,,,,,,,,,,,,,,,,,,,,,
305,9179814,3.0,,,,59,1.0,,,,1.0,,5,,,Not specified,Not specified,Not specified,No,Place des Tilleuls 3 5300- Andenne,,Yes,,,,162800.0,Not installed,,,,,,,,,,,,,,,,,,,,,,,,,,
306,9179806,2.0,,,,59,1.0,,,,1.0,,5,,,Not specified,Not specified,Not specified,No,Place des Tilleuls 3 5300- Andenne,,Yes,,,,160500.0,Not installed,,,,,,,,,,,,,,,,,,,,,,,,,,
307,9179811,3.0,,,,65,1.0,,,,1.0,,14,,,Not specified,Not specified,Not specified,No,Place des Tilleuls 3 5300- Andenne,,Yes,,,,182300.0,Not installed,,,,,,,,,,,,,,,,,,,,,,,,,,
308,9179815,3.0,,,,82,2.0,,,,1.0,,17,,,Not specified,Not specified,Not specified,No,Place des Tilleuls 3 5300- Andenne,,Yes,,,,215000.0,Not installed,,,,,,,,,,,,,,,,,,,,,,,,,,
310,9179817,1.0,,,"Living area (residential, urban or rural)",91,2.0,,,,,,26,,,Not specified,Not specified,Not specified,No,De Kalkaart 40 8430-Middelkerke,,,,Gas,,295000.0,,,,,,,,,,,,Yes,,,,,,Yes,,,,,,,,,
312,9179842,8.0,,,Urban,308,3.0,,,,,,161,,95.0,B,95 kg CO₂/m²,Not specified,No,Waterloosesteenweg 631 1050- Brussel,,Yes,,,,3324.0,,,,As new,,,4.0,No,,,,,,,,,,,,,,,,,,,
313,9179841,7.0,,,Urban,211,3.0,,,,,,111,,95.0,B,95 kg CO₂/m²,Not specified,No,Waterloosesteenweg 631 1050- Brussel,,Yes,,,,1950.0,Hyper equipped,,,As new,,,4.0,No,,,,,,,,,,,,,,,,,,,
314,9179843,8.0,,,Urban,305,3.0,,,,,,166,,95.0,B,95 kg CO₂/m²,Not specified,No,Waterloosesteenweg 631 1050- Brussel,,Yes,,,,3297.0,Hyper equipped,,,As new,,,4.0,No,,,,,,,,,,,,,,,,,,,
317,9180388,2.0,,,"Living area (residential, urban or rural)",125,2.0,,,,,,14,,,Not specified,Not specified,Not specified,No,De Kalkaart 40 8430-Middelkerke,,,,Gas,,360000.0,,,,,,,,,,,,Yes,,,,,,Yes,,,,,,,,,
318,9180431,2.0,,,"Living area (residential, urban or rural)",136,3.0,,,,,,6,,,Not specified,Not specified,Not specified,No,De Kalkaart 40 8430-Middelkerke,,,,Gas,,330000.0,,,,,,,,,,,,Yes,,,,,,Yes,,,,,,,,,
319,9179844,7.0,,,Urban,203,3.0,,,,,,76,,95.0,B,95 kg CO₂/m²,Not specified,No,Waterloosesteenweg 631 1050- Brussel,,Yes,,,,1839.0,Hyper equipped,,,As new,,,4.0,No,,,,,,,,,,,,,,,,,,,
320,9179845,7.0,,,Urban,160,2.0,,,,,,91,,95.0,B,95 kg CO₂/m²,Not specified,No,Waterloosesteenweg 631 1050- Brussel,,Yes,,,,1537.0,Hyper equipped,,,As new,,,4.0,No,,,,,,,,,,,,,,,,,,,
322,9180596,2.0,,,,37,,,,,1.0,,3,,159.0,B,Not specified,Not specified,No,Karel Janssenslaan 1 8400- Oostende,22m² square meters,,,Electric,Yes,178000.0,Installed,,1980.0,As new,,,,,,No,,Yes,No,,508.508,No,No,,,,,,,,,,22
324,9180689,2.0,,,,59,1.0,12,,,1.0,,5,,106.0,B,Not specified,Not specified,No,Regentiestraat 16 9100- Sint-Niklaas,20m² square meters,Yes,No,,No,245000.0,,10,2016.0,As new,,,,Yes,,No,,Yes,No,,,No,,,,,,,,,,,20
331,9182197,3.0,,12.0,,77,1.0,14,,,1.0,1.0,,,,Not specified,Not specified,Not specified,No,Place Ernest Dubois 6 1390- Grez-Doiceau,54m² square meters,Yes,,Gas,Yes,196000.0,USA hyper equipped,,2021.0,,Yes,,2.0,No,,,,,,,,,,,,,,,,,,,54
332,9181782,1.0,,,Countryside,,1.0,,,,,,,,,B,Not specified,Not specified,No,Rue Lantigné 22 6940- Durbuy,,,,Gas,Yes,196450.0,,,2021.0,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,
334,9182198,2.0,,12.0,,96,2.0,12,8,,1.0,1.0,6,,,Not specified,Not specified,Not specified,No,Place Ernest Dubois 6 1390- Grez-Doiceau,35m² square meters,Yes,,Gas,Yes,245000.0,USA hyper equipped,,2021.0,,Yes,,2.0,No,,,,,,,,,,,,,,,,,,,35
342,9182815,2.0,,,,93,2.0,,,,1.0,1.0,19,,,Not specified,Not specified,Not specified,No,Tavernierkaai 2 b 29 2000- Antwerpen,,Yes,No,,No,306193.0,Installed,,2021.0,,,,,No,,No,,Yes,No,,,No,Yes,,,,,,,,,,
344,9182814,3.0,,,,115,2.0,,,,1.0,1.0,22,,,Not specified,Not specified,Not specified,No,Tavernierkaai 2 b 29 2000- Antwerpen,,Yes,No,,No,484205.0,Installed,,2021.0,,,,,No,,No,,Yes,No,,,No,Yes,,,,,,,,,,
346,9182433,1.0,,1.0,,93,2.0,14,14,,1.0,2.0,12,,,Not specified,Not specified,Not specified,No,Avenue Zénobe Gramme 30 1er étage 1301- Wavre,31m² square meters,,,Gas,Yes,265000.0,Installed,,2020.0,,Yes,,4.0,,,,,,,,,,,,,,,,,,,,31
347,9182972,1.0,,12.0,,118,2.0,14,11,,1.0,1.0,5,,,Not specified,Not specified,Not specified,No,Place Ernest Dubois 6 1390- Grez-Doiceau,57m² square meters,Yes,,Gas,Yes,280000.0,USA hyper equipped,,2021.0,,Yes,,2.0,No,,,,,,,,,,,,,,,,,,,57
348,9182973,2.0,,12.0,,118,2.0,14,11,,1.0,1.0,5,,,Not specified,Not specified,Not specified,No,Place Ernest Dubois 6 1390- Grez-Doiceau,57m² square meters,Yes,,Gas,Yes,280000.0,USA hyper equipped,,2021.0,,Yes,,2.0,No,,,,,,,,,,,,,,,,,,,57
349,9183397,1.0,,,"Living area (residential, urban or rural)",101,2.0,,,,,,23,South West,,Not specified,Not specified,Not specified,No,Lipelostraat 55 1840- Londerzeel,,,,Electric,,306000.0,Hyper equipped,,,,,,,,,,,Yes,No,,,,Yes,,,,,,,,,,
351,9183391,1.0,,,"Living area (residential, urban or rural)",95,2.0,,,,,,13,South West,,Not specified,Not specified,Not specified,No,Lipelostraat 55 1840- Londerzeel,,,,Electric,,282000.0,Hyper equipped,,,,,,,,,,,Yes,No,,,,Yes,,,,,,,,,,
355,9183395,1.0,,,"Living area (residential, urban or rural)",91,2.0,,,,,,18,South West,,Not specified,Not specified,Not specified,No,Lipelostraat 55 1840- Londerzeel,,,,Electric,,279000.0,Hyper equipped,,,,,,,,,,,Yes,No,,,,Yes,,,,,,,,,,
356,9183400,2.0,,,"Living area (residential, urban or rural)",88,2.0,,,,,,35,South West,,Not specified,Not specified,Not specified,No,Lipelostraat 55 1840- Londerzeel,,,,Electric,,302000.0,Hyper equipped,,,,,,,,,,,Yes,No,,,,Yes,,,,,,,,,,
364,9183706,8.0,1.0,,,273,4.0,,,,4.0,5.0,,,,Not specified,Not specified,Not specified,No,"Elizabetlaan, 223 8301- Knokke",,Yes,Yes,,Yes,4125.0,,,2022.0,,,,2.0,No,12 m,No,,Yes,No,,,No,,,,Yes,Yes,,,,,,
367,9183709,6.0,1.0,,,166,3.0,,,,3.0,3.0,27,,,Not specified,Not specified,Not specified,No,"Elizabetlaan, 223 8301- Knokke",,Yes,Yes,,Yes,3050.0,,,2022.0,,,,2.0,No,14 m,No,,Yes,No,,,No,,,,Yes,,,,,,,
373,9184522,6.0,,,,101,1.0,,,,1.0,2.0,10,,,Not specified,Not specified,Not specified,No,Avenue Louise 251 1050- Bruxelles,,Yes,,Gas,Yes,595000.0,USA semi equipped,,2020.0,As new,Yes,,2.0,No,12 m,,,Yes,No,,,Yes,,,,,,,,,,,
374,9184523,7.0,,,,103,1.0,,,,1.0,2.0,60,,,Not specified,Not specified,Not specified,No,Avenue Louise 251 1050- Bruxelles,,Yes,,Gas,Yes,695000.0,USA semi equipped,,2020.0,As new,Yes,,2.0,No,12 m,,,Yes,No,,,Yes,,,,,,,,,,,
377,9185374,1.0,1.0,,,71,1.0,12,,,1.0,1.0,5,,,Not specified,Not specified,Not specified,No,"Rue des Brasseurs (Grand' Place), 1 4500- Huy",27m² square meters,,,Gas,Yes,185000.0,Installed,,2022.0,,Yes,,,,,,,,,,,,,,,,,,,,,,27
383,9185864,3.0,,,,227,2.0,,,,1.0,,,,,Not specified,Not specified,Not specified,No,Avenue d'Auderghem 198 1040- Etterbeek,,,,,,587814.0,,,,As new,,,,,,,,,,€ 150 150 €,,No,,,,Yes,,,,,,,
385,9185967,2.0,,,,69,1.0,,,,1.0,1.0,15,,,Not specified,Not specified,Not specified,No,Albert I laan 92 8670- Oostduinkerke,,Yes,Yes,Gas,Yes,280000.0,Hyper equipped,,2023.0,,,,,No,,No,,Yes,No,,,Yes,,,,Yes,,,,,,,
386,9185969,6.0,,,,82,2.0,,,,1.0,1.0,58,,,Not specified,Not specified,Not specified,No,Albert I laan 92 8670- Oostduinkerke,,Yes,Yes,Gas,Yes,535000.0,Hyper equipped,,2023.0,,,,,No,,No,,Yes,No,,,No,,,,Yes,,,,,,,
389,9186070,3.0,,1.0,,,2.0,,,,1.0,,,,,Not specified,Not specified,Not specified,No,Avenue d'Auderghem 198 1040- Etterbeek,,,,,,576479.0,,,,,,,,,,,,,,€ 150 150 €,,No,,,,,,,,,,,
391,9186500,2.0,,1.0,Isolated,139,3.0,20,11,11,1.0,1.0,,,157.0,B,Not specified,25652 kWh/year,No,Avenue Monbijou 14 4960- Malmedy,54m² square meters,,,,Yes,215000.0,,,,Just renovated,Yes,,2.0,,,,,,,,,,,,,,,,,,,,54
394,9188149,1.0,,,,,1.0,,,,1.0,,,,,Not specified,Not specified,Not specified,No,Broekermolenplein 2 3500- Hasselt,,,,,Yes,339500.0,,,,As new,,,,,,Yes,,,,,,No,,,,,Yes,,,,,,
400,9188210,1.0,,,,,2.0,,,,1.0,1.0,23,,,Not specified,Not specified,Not specified,No,Markt 15 8700- Tielt,,Yes,Yes,Gas,Yes,261100.0,Hyper equipped,,2020.0,,,,,No,,No,,,,,,No,,,,Yes,,,,,,,
401,9188207,5.0,,,,62,1.0,,,,1.0,1.0,25,,,Not specified,Not specified,Not specified,No,Markt 15 8700- Tielt,,Yes,Yes,Gas,Yes,238570.0,Hyper equipped,,2020.0,,,,,No,,No,,,,,,No,,,,Yes,,,,,,,
402,9188208,5.0,,,,118,3.0,,,,1.0,1.0,22,,,Not specified,Not specified,Not specified,No,Markt 15 8700- Tielt,,Yes,Yes,Gas,Yes,400304.0,Hyper equipped,,2020.0,,,,,No,,No,,,,,,No,,,,Yes,,,,,,,
404,9189533,2.0,,,,141,3.0,,,,2.0,2.0,,,91.0,A,Not specified,Not specified,No,Zeelaan 280 8670- Koksijde,,Yes,No,Gas,Yes,450000.0,Hyper equipped,,2014.0,As new,,,2.0,No,,No,,Yes,Yes,,,No,No,,,Yes,,,,,,,
409,9189606,3.0,,,,79,2.0,12,8,,,1.0,,,,Not specified,Not specified,Not specified,No,Grote Markt 1 8370- Blankenberge,31m² square meters,,,Gas,Yes,284000.0,Hyper equipped,,,As new,,,,,,No,,Yes,,,,,No,,,,,,,,,,31
410,9191713,3.0,,,Urban,160,3.0,,,,2.0,,39,,,Not specified,Not specified,Not specified,No,Vlamingstraat 62 8000- Brugge,,Yes,,Gas,,800481.0,Hyper equipped,,,As new,,,4.0,No,,,,,No,,,,,,,,,,,,,,
411,9189611,1.0,,,,84,2.0,12,11,,,1.0,,,,Not specified,Not specified,Not specified,No,Grote Markt 1 8370- Blankenberge,31m² square meters,,,,,294000.0,Installed,,,As new,,,,,,No,,Yes,,,,,No,,,,,,,,,,31
415,9192073,1.0,,,,155,2.0,10,12,,1.0,1.0,7,,,Not specified,Not specified,Not specified,No,Meensesteenweg 800 8800- Roeselare,23m² square meters,Yes,No,,No,275000.0,,27,,,,,,No,,No,,Yes,No,,,No,,,,Yes,,,,,,,23
429,9194450,1.0,,,,54,1.0,,,,,1.0,,,,Not specified,Not specified,Not specified,No,Rue Charles Magnette 24/40 4000- Liège,,Yes,,,Yes,189000.0,Installed,,,,,,,,,,,,,,1.1,,,,,,,,,,,,
432,9194453,1.0,,,,65,1.0,,,,,1.0,,,,Not specified,Not specified,Not specified,No,Rue Charles Magnette 24/40 4000- Liège,,Yes,,,Yes,228000.0,Installed,,,,,,,,,,,,,,1.1,,,,,,,,,,,,
434,9194456,1.0,,,,63,1.0,,,,,1.0,,,,Not specified,Not specified,Not specified,No,Rue Charles Magnette 24/40 4000- Liège,,Yes,,,Yes,217000.0,Installed,,,,,,,,,,,,,,1.1,,,,,,,,,,,,
442,9194461,2.0,,,,98,2.0,,,,,1.0,25,,,Not specified,Not specified,Not specified,No,Rue Charles Magnette 24/40 4000- Liège,,Yes,,,Yes,322000.0,Installed,,,,,,,,,,,,,,1.1,,,,,,,,,,,,
443,9194467,3.0,,,,95,2.0,,,,,1.0,,,,Not specified,Not specified,Not specified,No,Rue Charles Magnette 24/40 4000- Liège,,Yes,,,Yes,312000.0,Installed,,,,,,,,,,,,,,1.1,,,,,,Yes,,,,,,
445,9194463,2.0,,,,62,1.0,,,,,1.0,,,,Not specified,Not specified,Not specified,No,Rue Charles Magnette 24/40 4000- Liège,,Yes,,,Yes,220000.0,Installed,,,,,,,,,,,,,,1.1,,,,,,,,,,,,
449,9194880,3.0,1.0,1.0,Urban,250,4.0,16,19,30,2.0,1.0,19,,127.0,B,Not specified,36086 kWh/year,No,rue des dominicains 4E 4000- Liège,70m² square meters,Yes,,Gas,Yes,799000.0,Hyper equipped,17,,As new,Yes,,,No,,,,,No,,2.188,Yes,,,,,,15,,,15m² square meters,,70
461,9197654,2.0,,,,93,2.0,,,,1.0,,6,,,Not specified,Not specified,Not specified,No,"Rue du Berlaimont, 1 6220- Fleurus",,Yes,No,,No,215000.0,,,,,,,,No,,No,,,,,,No,,,,Yes,,,,,,,
462,9197652,2.0,,,,59,1.0,,,,1.0,,,,,Not specified,Not specified,Not specified,No,"Rue du Berlaimont, 1 6220- Fleurus",,Yes,No,,No,148500.0,,,,,,,,No,,No,,,,,,No,,,,Yes,,,,,,,
464,9197653,2.0,,,,96,2.0,,,,1.0,,7,,,Not specified,Not specified,Not specified,No,"Rue du Berlaimont, 1 6220- Fleurus",,Yes,No,,No,217000.0,,,,,,,,No,,No,,,,,,No,,,,Yes,,,,,,,
465,9197656,2.0,,,,79,2.0,,,,1.0,,8,,,Not specified,Not specified,Not specified,No,"Rue du Berlaimont, 1 6220- Fleurus",,Yes,No,,No,182000.0,,,,,,,,No,,No,,,,,,No,,,,Yes,,,,,,,
466,9197661,1.0,,,,59,1.0,,,,1.0,,,,,Not specified,Not specified,Not specified,No,"Rue du Berlaimont, 1 6220- Fleurus",,Yes,No,,No,146500.0,,,,,,,,No,,No,,,,,,No,,,,Yes,,,,,,,
469,9197655,2.0,,,,86,2.0,,,,1.0,,7,,,Not specified,Not specified,Not specified,No,"Rue du Berlaimont, 1 6220- Fleurus",,Yes,No,,No,185000.0,,,,,,,,No,,No,,,,,,No,,,,Yes,,,,,,,
470,9197662,1.0,,,,96,2.0,,,,1.0,,7,,,Not specified,Not specified,Not specified,No,"Rue du Berlaimont, 1 6220- Fleurus",,Yes,No,,No,211000.0,,,,,,,,No,,No,,,,,,No,,,,Yes,,,,,,,
473,9197666,1.0,,,,93,2.0,,,,1.0,,6,,,Not specified,Not specified,Not specified,No,"Rue du Berlaimont, 1 6220- Fleurus",,Yes,No,,No,208000.0,,,,,,,,No,,No,,,,,,No,,,,Yes,,,,,,,
475,9197668,1.0,,,,79,2.0,,,,1.0,,8,,,Not specified,Not specified,Not specified,No,"Rue du Berlaimont, 1 6220- Fleurus",,Yes,No,,No,178000.0,,,,,,,,No,,No,,,,,,No,,,,Yes,,,,,,,
478,9197670,2.0,,,,88,2.0,,,,1.0,,8,,,Not specified,Not specified,Not specified,No,"Rue du Berlaimont, 1 6220- Fleurus",,Yes,No,,No,199000.0,,,,,,,,No,,No,,,,,,No,,,,Yes,,,,,,,
479,9197671,2.0,,,,80,2.0,,,,1.0,,8,,,Not specified,Not specified,Not specified,No,"Rue du Berlaimont, 1 6220- Fleurus",,Yes,No,,No,189000.0,,,,,,,,No,,No,,,,,,No,,,,Yes,,,,,,,
481,9197672,2.0,,,,55,1.0,,,,1.0,,5,,,Not specified,Not specified,Not specified,No,"Rue du Berlaimont, 1 6220- Fleurus",,Yes,No,,No,148500.0,,,,,,,,No,,No,,,,,,No,,,,Yes,,,,,,,
482,9197682,1.0,,,,80,2.0,,,,1.0,,8,,,Not specified,Not specified,Not specified,No,"Rue du Berlaimont, 1 6220- Fleurus",,Yes,No,,No,184000.0,,,,,,,,No,,No,,,,,,No,,,,Yes,,,,,,,
486,9197685,1.0,,,,88,2.0,,,,1.0,,8,,,Not specified,Not specified,Not specified,No,"Rue du Berlaimont, 1 6220- Fleurus",,Yes,No,,No,193000.0,,,,,,,,No,,No,,,,,,No,,,,Yes,,,,,,,
487,9198682,3.0,,,Countryside,98,2.0,,,,1.0,1.0,21,,,Not specified,Not specified,Not specified,No,Nieuwpoortlaan 29 8660- La Panne,,Yes,Yes,,No,325000.0,,,2021.0,,,,,No,,No,,Yes,,,,No,,,,Yes,,,,,,,
489,9198686,2.0,,,Countryside,109,2.0,,,,1.0,1.0,14,,,Not specified,Not specified,Not specified,No,Nieuwpoortlaan 29 8660- La Panne,,Yes,Yes,,No,315000.0,,,2021.0,,,,,No,,No,,Yes,,,,No,,,,Yes,,,,,,,
492,9198681,3.0,,,Countryside,102,2.0,,,,1.0,1.0,15,,,Not specified,Not specified,Not specified,No,Nieuwpoortlaan 29 8660- La Panne,,Yes,Yes,,No,350000.0,,,2021.0,,,,,No,,No,,Yes,,,,No,,,,Yes,,,,,,,
493,9198683,3.0,,,Countryside,88,2.0,,,,1.0,1.0,15,,,Not specified,Not specified,Not specified,No,Nieuwpoortlaan 29 8660- La Panne,,Yes,Yes,,No,289000.0,,,2021.0,,,,,No,,No,,Yes,,,,No,,,,Yes,,,,,,,
494,9198690,1.0,,,Countryside,109,2.0,,,,1.0,1.0,14,,,Not specified,Not specified,Not specified,No,Nieuwpoortlaan 29 8660- La Panne,,Yes,Yes,,No,305000.0,,,2021.0,,,,,No,,No,,Yes,,,,No,,,,Yes,,,,,,,
495,9198687,1.0,,,Countryside,125,2.0,,,,1.0,1.0,18,,,Not specified,Not specified,Not specified,No,Nieuwpoortlaan 29 8660- La Panne,,Yes,Yes,,No,369000.0,,,2021.0,,,,,No,,No,,Yes,,,,No,,,,Yes,,,,,,,
497,9198689,1.0,,,Countryside,91,2.0,,,,1.0,1.0,18,,,Not specified,Not specified,Not specified,No,Nieuwpoortlaan 29 8660- La Panne,,Yes,Yes,,No,269000.0,,,2021.0,,,,,No,,No,,Yes,,,,No,,,,Yes,,,,,,,
511,9199036,8.0,,,,273,4.0,,,,4.0,4.0,,,,Not specified,Not specified,Not specified,No,Majoor Quaillestraat 2 (hoek Zeedijk) 8300- Knokke,,Yes,Yes,,Yes,4400.0,Installed,,,,,,,No,,Yes,,Yes,No,,,No,,,,,Yes,,,,,,
512,9199038,6.0,,,,166,3.0,,,,3.0,2.0,,,,Not specified,Not specified,Not specified,No,Majoor Quaillestraat 2 (hoek Zeedijk) 8300- Knokke,,Yes,Yes,,Yes,3175.0,Installed,,,,,,,No,,No,,Yes,No,,,No,,,,,Yes,,,,,,
516,9199401,1.0,,,,86,2.0,12,10,,1.0,1.0,,,59.0,A,11 kg CO₂/m²,5100 kWh/year,No,Place de la constitution 24 6001- Marcinelle,28m² square meters,No,,Gas,Yes,175000.0,Installed,6,2021.0,As new,,,3.0,No,,,,Yes,No,€ 50 50 €,,,,,,,Yes,,,,,,28
517,9199402,2.0,,,,86,2.0,12,10,,1.0,1.0,,,68.0,A,13 kg CO₂/m²,5662 kWh/year,No,Place de la constitution 24 6001- Marcinelle,28m² square meters,No,,Gas,Yes,175000.0,Installed,6,2021.0,As new,,,3.0,No,,,,Yes,No,€ 50 50 €,,,,,,,Yes,,,,,,28
523,9200123,1.0,,,"Living area (residential, urban or rural)",82,2.0,,,,,,23,,,Not specified,Not specified,Not specified,No,Troonstraat 60 8400- Oostende,,Yes,,,,335000.0,,,,,,,,,,,,Yes,No,,,,,,,,,,,,,,
530,9200124,1.0,,,"Living area (residential, urban or rural)",82,2.0,,,,,,23,,,Not specified,Not specified,Not specified,No,Troonstraat 60 8400- Oostende,,Yes,,,,335000.0,,,,,,,,,,,,Yes,No,,,,,,,,,,,,,,
531,9200125,1.0,,,"Living area (residential, urban or rural)",82,2.0,,,,,,23,,,Not specified,Not specified,Not specified,No,Troonstraat 60 8400- Oostende,,Yes,,,,335000.0,,,,,,,,,,,,Yes,No,,,,,,,,,,,,,,
534,9200128,1.0,,,"Living area (residential, urban or rural)",82,2.0,,,,,,23,,,Not specified,Not specified,Not specified,No,Troonstraat 60 8400- Oostende,,Yes,,,,335000.0,,,,,,,,,,,,Yes,No,,,,,,,,,,,,,,
535,9200131,2.0,,,"Living area (residential, urban or rural)",82,2.0,,,,,,23,,,Not specified,Not specified,Not specified,No,Troonstraat 60 8400- Oostende,,Yes,,,,355000.0,,,,,,,,,,,,Yes,No,,,,,,,,,,,,,,
537,9200132,2.0,,,"Living area (residential, urban or rural)",82,2.0,,,,,,23,,,Not specified,Not specified,Not specified,No,Troonstraat 60 8400- Oostende,,Yes,,,,355000.0,,,,,,,,,,,,Yes,No,,,,,,,,,,,,,,
538,9200134,2.0,,,"Living area (residential, urban or rural)",82,2.0,,,,,,23,,,Not specified,Not specified,Not specified,No,Troonstraat 60 8400- Oostende,,Yes,,,,355000.0,,,,,,,,,,,,Yes,No,,,,,,,,,,,,,,
539,9200135,2.0,,,"Living area (residential, urban or rural)",82,2.0,,,,,,23,,,Not specified,Not specified,Not specified,No,Troonstraat 60 8400- Oostende,,Yes,,,,355000.0,,,,,,,,,,,,Yes,No,,,,,,,,,,,,,,
