,Building condition,Number of frontages,Covered parking spaces,Living room,Bedrooms,Bathrooms,Basement,Garden surface,Terrace,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Available as of,Available date,Construction year,Street frontage width,Outdoor parking spaces,Surroundings type,Living area,Living room surface,Kitchen type,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Shower rooms,Toilets,Attic,Furnished,Surface of the plot,Width of the lot on the street,Connection to sewer network,"Gas, water &amp; electricity",Terrace surface,Elevator,Accessible for disabled people,Secure access / alarm,TV cable,Swimming pool,Heating type,Double glazing,Flood zone type,Virtual visit,How many fireplaces?,Kitchen surface,Garden,Garden orientation,As built plan,Dining room,Bedroom 4 surface,Latest land use designation,Planning permission obtained,Subdivision permit,Office surface,Office,Intercom,Total ground floor buildable,Possible priority purchase right,Bedroom 5 surface,Dressing room,Laundry room,Professional space,Basement surface,Attic surface,Isolated,Armored door,Land is facing street,Wooded land,Plot at rear,Flat land,Terrace orientation,Caretaker,Air conditioning,Visio phone,Jacuzzi,Sauna,Internet,Heat pump,Photovoltaic solar panels,Thermic solar panels,Common water heater,Obligation to build,Neighbourhood or locality,Conformity certification for fuel tanks,Number of annexes,Property name,Professional space surface,Proceedings for breach of planning regulations,Extra information,E-level (overall energy performance),Agent's name,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Type of building,Venue of the sale,Single session,Terms of visit,Starting price,Monthly charges,Age of annuitants,Age of annuitant,Minimum overbid,Price after higher bid,Current monthly revenue,Maximum duration of annuity,Percentage rented,EPC description
10082231,Good,3,1,,2,1,,,,450 kWh/m²kilowatt hour per square meters,F,20220829002808,Not specified,Not specified,"Make an offer starting from€ 190,000Make an offer starting from190000 €",€ 446446 €,No,Chaussée de Namur 47 5030- Gembloux,,1275 - VCE063,Hainaut,After signing the deed,,,,,,,32m²square meters,Installed,25m²square meters,16m²square meters,,,,,No,,,,,,,,Yes,,,Fuel oil,Yes,,,,12m²square meters,Yes,North West,No,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9986325,Good,2,,,3,2,,,,209 kWh/m²kilowatt hour per square meters,C,20220613000293,Not specified,26563 kWh/year,"Make an offer starting from€ 190,000Make an offer starting from190000 €",€ 401401 €,No,Rue du Moulin 2 7100- La louvière,http://www.actualimmo.be/fr/estimation,4808122,Hainaut,After signing the deed,,,,1,,127m²square meters,36m²square meters,Installed,20m²square meters,10m²square meters,16m²square meters,1,2,,,,,,,,No,No,,Yes,,Gas,Yes,,,,17m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9967222,Good,3,1,,3,1,Yes,,,362 kWh/m²kilowatt hour per square meters,E,20220523008138,66 kg CO₂/m²,59038 kWh/year,"Make an offer starting from€ 190,000Make an offer starting from190000 €",€ 556556 €,No,Boulevard Saincetelette 39 7000- Mons,http://www.connexionimmo.be,265 - RL 001,Hainaut,,,,,,,186m²square meters,31m²square meters,Installed,13m²square meters,13m²square meters,,,2,,No,,,,,20m²square meters,,,,,,Gas,Yes,,,1,24m²square meters,Yes,West,No,Yes,,,,,21m²square meters,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10053645,To be done up,4,1,,4,1,Yes,,Yes,882 kWh/m²kilowatt hour per square meters,G,20140305023312,250 kg CO₂/m²,105145 kWh/year,"€ 189,000189000 €",€ 342342 €,No,"Av. Mascaux, 570 6001- Marcinelle",http://www.immo-futur.be,4849300,Hainaut,After signing the deed,,,,2,Isolated,119m²square meters,18m²square meters,Semi equipped,18m²square meters,17m²square meters,14m²square meters,,1,Yes,No,382m²square meters,,Connected,No,,No,Yes,,Yes,No,Pellet,Yes,Possible flood zone,Link to the virtual visit,,5m²square meters,,,No,Yes,29m²square meters,"Living area (residential, urban or rural)",Yes,Yes,,,,119m²square meters,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9533551,Good,4,1,,2,1,Yes,283m²square meters,,418 kWh/m²kilowatt hour per square meters,E,20210922022570,Not specified,61778 kWh/year,"Make an offer starting from€ 199,000Make an offer starting from199000 €",€ 552552 €,No,rue de Bertransart63 A 6280- Gerpinnes,,4517609,Hainaut,After signing the deed,,,,3,Isolated,112m²square meters,,Installed,16m²square meters,12m²square meters,,1,2,Yes,No,460m²square meters,,Connected,Yes,,No,,,Yes,,Gas,Yes,,,,,,,,,,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10074730,Good,3,1,Yes,2,1,Yes,,,424 kWh/m²kilowatt hour per square meters,E,20220819001817,Not specified,Not specified,"€ 199,000199000 €",€ 319319 €,,Rue du coulant d'eau 16 7521- Chercq,,,Hainaut,After signing the deed,,,,,,,,Installed,,,,,1,Yes,No,213m²square meters,,,Yes,,,,,,,Fuel oil,Yes,,,,,,,,Yes,,,,,,Yes,,,,,Yes,,,,,,,,,,Yes,,,,,,,,,,,,,,,1,,,,,,HANICQ,,,,,,,,,,,,,,,,,,,,,
10008418,Good,4,1,,3,1,,,Yes,559 kWh/m²kilowatt hour per square meters,G,20220623030920,Not specified,Not specified,"€ 200,000200000 €",€ 943943 €,,Rue d'Acoz 13 6280- Gerpinnes,,,Hainaut,After signing the deed,,1970,,4,"Living area (residential, urban or rural)",,30m²square meters,Installed,,,,,2,Yes,,527m²square meters,,Connected,Yes,,,,,,,Fuel oil,,Non flood zone,,1,,Yes,South,,,,"Living area (residential, urban or rural)",,,,,,,,,,,,30m²square meters,,,,,,,,East,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,
10097860,To be done up,3,,,3,1,Yes,,,508 kWh/m²kilowatt hour per square meters,F,Not specified,Not specified,112897 kWh/year,"Make an offer starting from€ 216,000Make an offer starting from216000 €",€ 567567 €,,Place du Trichon 3 7181- Feluy,,,Hainaut,After signing the deed,,,,,Urban,135m²square meters,48m²square meters,USA hyper equipped,22m²square meters,21m²square meters,20m²square meters,1,,,,240m²square meters,,Connected,Yes,,,,,,,Gas,Yes,,,,,,,,,,,,,,Yes,,,,,,Yes,,,50m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10036325,Good,2,1,,3,1,Yes,,Yes,184 kWh/m²kilowatt hour per square meters,C,20210603009299,1166 kg CO₂/m²,184 kWh/year,"Make an offer starting from€ 209,000Make an offer starting from209000 €",€ 416416 €,No,Rue longue 686200- Bouffioulx,http://www.immovalle-sanz.be,4852088,Hainaut,After signing the deed,,,,1,Isolated,96m²square meters,40m²square meters,Installed,12m²square meters,7m²square meters,15m²square meters,1,1,,No,170m²square meters,,Connected,No,,No,No,,Yes,,Pellet,Yes,Non flood zone,Link to the virtual visit,,10m²square meters,,,No,,,"Living area (residential, urban or rural)",,No,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,
10034362,Good,3,,,3,1,,500m²square meters,,366 kWh/m²kilowatt hour per square meters,E,20220525019177,Not specified,60631 kWh/year,"Make an offer starting from€ 225,000Make an offer starting from225000 €",€ 524524 €,No,rue de Valenciennes 42 7380- Quiévrain,,4852577,Hainaut,After signing the deed,,,,2,,166m²square meters,32m²square meters,Installed,12m²square meters,16m²square meters,16m²square meters,1,2,,No,800m²square meters,,Connected,No,42m²square meters,,,,,,Gas,Yes,Non flood zone,,,29m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUIEVRAIN -HENSIES-DOUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9971117,Good,2,2,Yes,3,1,Yes,,,519 kWh/m²kilowatt hour per square meters,G,20210425004630,129 kg CO₂/m²,86728 kWh/year,"€ 230,000230000 €",€ 530530 €,No,"Avenue Jean d'Avesnes, 10 7000- Mons",,4800620,Hainaut,After signing the deed,,1950,,15,,200m²square meters,,Semi equipped,15m²square meters,15m²square meters,,1,1,Yes,,300m²square meters,,Connected,Yes,10m²square meters,,,,Yes,,Gas,,Non flood zone,,,15m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10088422,Good,3,1,Yes,4,1,Yes,,Yes,422 kWh/m²kilowatt hour per square meters,E,20220818003022,Not specified,85267 kWh/year,"Make an offer starting from€ 235,000Make an offer starting from235000 €",€ 421421 €,No,Rue du Collège 26 6220- Fleurus,,,Hainaut,After signing the deed,,,,,Countryside,202m²square meters,,Installed,,,,,2,Yes,,270m²square meters,,,,,,,,,,Fuel oil,Yes,,,,,,,,,,,,,,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,Ornella COLACI,,,,,,,,,,,,,,,,,,,,,
9941318,As new,3,1,,4,2,Yes,117m²square meters,,424 kWh/m²kilowatt hour per square meters,E,20220530014262,Not specified,98759 kWh/year,"Make an offer starting from€ 230,000Make an offer starting from230000 €",€ 470470 €,No,rue de Valenciennes 42 7380- Quiévrain,,4771484,Hainaut,After signing the deed,,,,,Countryside,212m²square meters,33m²square meters,USA hyper equipped,10m²square meters,18m²square meters,18m²square meters,2,2,Yes,No,310m²square meters,,Connected,No,30m²square meters,,,,,,Fuel oil,Yes,Non flood zone,,,17m²square meters,,,,,51m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUIEVRAIN -HENSIES-DOUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9964604,To renovate,2,1,Yes,4,1,Yes,,Yes,294 kWh/m²kilowatt hour per square meters,D,20220609004059294,Not specified,64111 kWh/year,"Make an offer starting from€ 250,000Make an offer starting from250000 €",€ 959959 €,No,"Quai Sakharov, 7 7500- Tournai",,,Hainaut,To be defined,,,,,,,,Installed,,,,,3,,,355m²square meters,,Connected,,,,,,Yes,,Gas,Yes,,Link to the virtual visit,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,Bettina CIAPPINA,,,,,,,,,,,,,,,,,,,,,
10087728,As new,2,1,Yes,3,1,Yes,,,240 kWh/m²kilowatt hour per square meters,C,20191129006199,44 kg CO₂/m²,36824 kWh/year,"€ 245,000245000 €",€ 745745 €,No,"Rue du Quesnoy, 36 7500- Tournai",http://www.likeimmo.be,4855736,Hainaut,After signing the deed,August 1 2022 - 12:00 AM,1930,,,,154m²square meters,,Installed,12m²square meters,12m²square meters,14m²square meters,1,2,,No,94m²square meters,,,,10m²square meters,,,,,,Gas,Yes,,Link to the virtual visit,,8m²square meters,,,,,,,,,7m²square meters,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9996571,To be done up,4,1,Yes,4,1,,100m²square meters,,793 kWh/m²kilowatt hour per square meters,G,20220124013739,Not specified,119128 kWh/year,"Make an offer starting from€ 245,000Make an offer starting from245000 €",€ 966966 €,No,Rue de la Station 16 6220- Fleurus,http://www.immotrebel.be,4813334,Hainaut,,,1970,,,,150m²square meters,,,14m²square meters,10m²square meters,16m²square meters,1,2,,No,388m²square meters,,Connected,No,40m²square meters,,,,,,Fuel oil,Yes,,,,8m²square meters,,,,,16m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10047105,Good,2,2,,3,1,Yes,100m²square meters,,254 kWh/m²kilowatt hour per square meters,C,20220425000340,47 kg CO₂/m²,40949 kWh/year,"€ 254,000254000 €",€ 691691 €,No,Rue Saint-Achaire 86 7700- Mouscron,http://www.likeimmo.be,4862261,Hainaut,After signing the deed,April 7 2022 - 12:00 AM,1930,,,,161m²square meters,34m²square meters,Installed,12m²square meters,15m²square meters,16m²square meters,1,1,Yes,No,255m²square meters,,,,8m²square meters,,,,,,Gas,Yes,,Link to the virtual visit,,14m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9772925,Good,4,,Yes,4,1,Yes,,,366 kWh/m²kilowatt hour per square meters,E,20220222025287,Not specified,56304 kWh/year,"Make an offer starting from€ 260,000Make an offer starting from260000 €",€ 899899 €,No,"Rue Saint Pierre, 87/89 7340- Wasmes",,,Hainaut,After signing the deed,,,,,,,,Installed,,,,,1,,,325m²square meters,,Connected,,,,,,Yes,,Gas,Yes,,,,,,,,Yes,,"Living area (residential, urban or rural)",,No,,,,,No,,,,,,,,,,,,,,,,,,,,No,,No,,,,,,,,No,,,Liza MACALUSO,,,,,,,,,,,,,,,,,,,,,
10126968,Good,2,1,,5,2,,,Yes,259 kWh/m²kilowatt hour per square meters,D,20220630033476,Not specified,62731 kWh/year,"Make an offer starting from€ 260,000Make an offer starting from260000 €",€ 848848 €,No,Chaussée de Beaumont 43 boite 1 6440- Froidchapelle,,4945577,Hainaut,After signing the deed,,,,,Countryside,227m²square meters,15m²square meters,Installed,10m²square meters,10m²square meters,11m²square meters,2,,Yes,No,1044m²square meters,,Connected,No,,No,,,Yes,No,,Yes,,,,28m²square meters,,,,Yes,13m²square meters,,,,,,,,,20m²square meters,,,,,,,,,,,,,,,,,,,,,,,,Région Erquelinnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10032149,Good,2,1,,5,2,,,Yes,259 kWh/m²kilowatt hour per square meters,D,20220630033476,Not specified,62731 kWh/year,"Make an offer starting from€ 260,000Make an offer starting from260000 €",€ 848848 €,No,Chaussée de Beaumont 43 boite 1 6440- Froidchapelle,,4808791,Hainaut,After signing the deed,,,,,Countryside,227m²square meters,15m²square meters,Installed,10m²square meters,10m²square meters,11m²square meters,2,,Yes,No,1044m²square meters,,Connected,No,,No,,,Yes,No,,Yes,,,,28m²square meters,,,,Yes,13m²square meters,,,,,,,,,20m²square meters,,,,,,,,,,,,,,,,,,,,,,,,Région Erquelinnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10123826,Good,4,1,,3,1,Yes,350m²square meters,,457 kWh/m²kilowatt hour per square meters,F,20220701004698,Not specified,65852 kWh/year,"€ 265,000265000 €",€ 808808 €,No,rue de Valenciennes 42 7380- Quiévrain,,4933084,Hainaut,After signing the deed,,,,2,,144m²square meters,30m²square meters,Semi equipped,12m²square meters,13m²square meters,18m²square meters,1,1,,No,687m²square meters,,Connected,No,30m²square meters,,,Yes,,,Fuel oil,,,,,9m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAINT GHISLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10024616,Good,2,1,,5,1,Yes,,,237 kWh/m²kilowatt hour per square meters,C,20220711027801,51 kg CO₂/m²,94081 kWh/year,"Make an offer starting from€ 269,000Make an offer starting from269000 €",€ 744744 €,No,Boulevard Saincetelette 39 7000- Mons,http://www.connexionimmo.be,306 - AB 036,Hainaut,After signing the deed,,,,,,195m²square meters,40m²square meters,Semi equipped,29m²square meters,17m²square meters,13m²square meters,1,2,,No,,,,,,,,,,,Gas,Yes,,,,18m²square meters,,,No,,12m²square meters,,,,10m²square meters,Yes,,,,11m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10047103,As new,2,2,,3,1,,120m²square meters,,297 kWh/m²kilowatt hour per square meters,D,20201124000212,Not specified,69507 kWh/year,"€ 265,000265000 €",€ 887887 €,No,Rue Saint-Achaire 86 7700- Mouscron,http://www.likeimmo.be,4848006,Hainaut,After signing the deed,July 18 2022 - 12:00 AM,1950,,,,234m²square meters,30m²square meters,Installed,7m²square meters,9m²square meters,18m²square meters,1,1,Yes,No,199m²square meters,,,,20m²square meters,No,No,Yes,,No,Gas,Yes,,Link to the virtual visit,,16m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9975599,Good,4,1,Yes,3,1,,,Yes,357 kWh/m²kilowatt hour per square meters,E,20220426016601,Not specified,69431 kWh/year,"Make an offer starting from€ 275,000Make an offer starting from275000 €","€ 1,1841184 €",No,"Avenue Henri Paris, 12 7500- TOURNAI",,,Hainaut,After signing the deed,,1970,,,,,,Not installed,,,,,1,Yes,,1241m²square meters,,,,,,,,,,Fuel oil,Yes,,,1,,,,,Yes,,,,,,,,,,,,,,,,Yes,,Yes,,,Yes,,,,,,,,No,,No,,,,,,,,,,,Virginie LOOSE,,,,,,,,,,,,,,,,,,,,,
10082008,Good,3,,,2,2,Yes,,,289 kWh/m²kilowatt hour per square meters,D,20220705022729,Not specified,28125 kWh/year,"€ 295,000295000 €","€ 2,4672467 €",Yes,Boulevard Delwart 22/B 7500- Tournai,,4806180,Hainaut,Immediately,,1950,,,,280m²square meters,,,,,,,3,,,116m²square meters,,Connected,Yes,5m²square meters,,,,,,Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101568,Good,4,1,,4,2,,,Yes,236 kWh/m²kilowatt hour per square meters,C,20220831026982,Not specified,43484 kWh/year,"Make an offer starting from€ 290,000Make an offer starting from290000 €",€ 867867 €,No,rue de Valenciennes 42 7380- Quiévrain,,4900827,Hainaut,After signing the deed,,,,2,,184m²square meters,35m²square meters,Installed,15m²square meters,15m²square meters,24m²square meters,2,2,Yes,No,1333m²square meters,,Not connected,Yes,,,,,,,Gas,,,,,12m²square meters,,,,,,,,,9m²square meters,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,QUIEVRAIN -HENSIES-DOUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9940114,As new,2,,Yes,3,1,Yes,,Yes,162 kWh/m²kilowatt hour per square meters,B,20210920019421,Not specified,29252 kWh/year,"€ 289,000289000 €",€ 988988 €,No,"Rue de Tourcoing, 86 7700- Mouscron",,,Hainaut,After signing the deed,,,,1,,,,Installed,,,,,2,,,188m²square meters,,Connected,,,,,,,,Gas,Yes,,,,,Yes,South,,Yes,,"Living area (residential, urban or rural)",,,,Yes,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,Michaël LOIN,,,,,,,,,,,,,,,,,,,,,
10132912,Good,3,,,4,2,,,,457 kWh/m²kilowatt hour per square meters,F,20220531020334,Not specified,Not specified,"€ 315,000315000 €","€ 1,1751175 €",,Rue de la Station 75 7060- Soignies,,,Hainaut,After signing the deed,,,,,"Living area (residential, urban or rural)",,77m²square meters,Installed,12m²square meters,11m²square meters,10m²square meters,2,2,,,542m²square meters,,,Yes,,,,,Yes,,Gas,Yes,,,,18m²square meters,,,,,12m²square meters,,,,,,,,,,,,,33m²square meters,70m²square meters,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
10021975,Good,3,1,,3,1,,,Yes,533 kWh/m²kilowatt hour per square meters,G,20220629018111,Not specified,98929 kWh/year,"€ 300,000300000 €","€ 1,2041204 €",No,"Avenue Marius Meurée, 7 6001- MARCINELLE",,,Hainaut,After signing the deed,,1995,,1,Urban,186m²square meters,,,,,,,2,Yes,,1066m²square meters,,Connected,,,,,,Yes,,Fuel oil,Yes,,,1,,Yes,South West,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,No,,No,,,,,,,,,,,Paul FROIDEVILLE,,,,,,,,,,,,,,,,,,,,,
10106817,Good,4,1,,3,2,Yes,370m²square meters,,408 kWh/m²kilowatt hour per square meters,E,20220623010616,75 kg CO₂/m²,74779 kWh/year,"€ 305,000305000 €",€ 745745 €,No,"Rue du Quesnoy, 36 7500- Tournai",http://www.likeimmo.be,4928350,Hainaut,After signing the deed,June 21 2022 - 12:00 AM,1950,,1,,183m²square meters,52m²square meters,Installed,11m²square meters,12m²square meters,9m²square meters,2,1,Yes,No,675m²square meters,,,,35m²square meters,,,,,,Gas,Yes,,Link to the virtual visit,,14m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10130384,As new,4,,Yes,4,1,,700m²square meters,,417 kWh/m²kilowatt hour per square meters,E,20220607018612,103 kg CO₂/m²,105116 kWh/year,"€ 299,000299000 €",€ 597597 €,No,Rue Saint-Achaire 86 7700- Mouscron,http://www.likeimmo.be,4935225,Hainaut,After signing the deed,September 19 2022 - 12:00 AM,1950,,1,,252m²square meters,,Installed,10m²square meters,10m²square meters,20m²square meters,1,1,Yes,No,1000m²square meters,,,,30m²square meters,,,,,,Fuel oil,Yes,,Link to the virtual visit,,17m²square meters,,,,,20m²square meters,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10035310,Good,4,1,Yes,3,1,,,,185 kWh/m²kilowatt hour per square meters,C,20220628025287,Not specified,29215 kWh/year,"Make an offer starting from€ 315,000Make an offer starting from315000 €","€ 1,1871187 €",No,"Chaussée de Renaix, 19A 7760- Velaines",,,Hainaut,After signing the deed,,1989,,,,,,Installed,,,,,2,,,501m²square meters,,,,,,,Yes,,,Gas,Yes,,,,,,,,Yes,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,Laurence FONTAINE,,,,,,,,,,,,,,,,,,,,,
9745504,To restore,3,2,Yes,4,1,Yes,,Yes,437 kWh/m²kilowatt hour per square meters,F,20220202006997,82 kg CO₂/m²,149485 kWh/year,"€ 320,000320000 €","€ 1,9801980 €",,Chaussée de Bruxelles 402 6210- Les Bons Villers,,,Hainaut,After signing the deed,,1978,,2,,260m²square meters,,Semi equipped,,,,1,3,Yes,,470m²square meters,,Connected,Yes,,,,Yes,Yes,,Gas,Yes,Non flood zone,,1,,,,,Yes,,"Living area (residential, urban or rural)",,,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,60m²square meters,No,,,Mr Deuquet,,,,,,,,,,,,,,,,,,,,,
9973538,As new,3,,,4,1,,215m²square meters,,95 kWh/m²kilowatt hour per square meters,B,Not specified,Not specified,Not specified,"€ 330,000330000 €",€ 941941 €,,Bund 130/1 2180- Ekeren,http://www.gabrielenjackvastgoed.be,,Hainaut,After signing the deed,,2021,11 m,,,161m²square meters,36m²square meters,,25m²square meters,20m²square meters,16m²square meters,1,2,,,295m²square meters,11 mmeters,Connected,Yes,20m²square meters,,,,Yes,,Gas,,,,,9m²square meters,,South,,,16m²square meters,,,,,,Yes,,,,,Yes,,,70m²square meters,,,Yes,,,,,,,,,,,,,,,,,,1,,,,,,Liliana,,,,,,,,,,,,,,,,,,,,,
10004085,Good,2,,,2,1,Yes,,Yes,292 kWh/m²kilowatt hour per square meters,D,20220629021159,57 kg CO₂/m²,48966 kWh/year,"Make an offer starting from€ 350,000Make an offer starting from350000 €","€ 1,9631963 €",Yes,"Av. Mascaux, 570 6001- Marcinelle",http://www.immo-futur.be,4804681,Hainaut,Depending on the tenant,,,,,Urban,168m²square meters,23m²square meters,Semi equipped,11m²square meters,5m²square meters,,1,3,Yes,No,120m²square meters,,Connected,Yes,,No,No,,Yes,No,Gas,Yes,Possible circumscribed waterside zone,Link to the virtual visit,,11m²square meters,,,,,,Mixed living area (accommodation &amp; economic activities),,No,13m²square meters,Yes,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,
9973727,As new,4,1,Yes,3,1,,,,Not specified,Not specified,Not specified,Not specified,Not specified,"€ 395,000395000 €","€ 1,5311531 €",,Rue des Frênes 3 6120- Nalinnes,,,Hainaut,After signing the deed,,,22 m,2,"Living area (residential, urban or rural)",164m²square meters,,Installed,28m²square meters,13m²square meters,12m²square meters,1,3,,Yes,1155m²square meters,23 mmeters,Connected,Yes,22m²square meters,,,Yes,Yes,,Gas,Yes,,,,9m²square meters,,,,Yes,,,,,12m²square meters,Yes,,,,,Yes,Yes,,8m²square meters,18m²square meters,,,Yes,,,Yes,,,Yes,Yes,,,,,,,,,,,,,,,,,MK 13 SPRL MONSIEUR MICHEL JOSZT,,,,,,,,,,,,,,,,,,,,,
9779704,To be done up,4,1,,3,1,,1450m²square meters,,513 kWh/m²kilowatt hour per square meters,G,20220307024706,146 kg CO₂/m²,71757 kWh/year,"Make an offer starting from€ 365,000Make an offer starting from365000 €","€ 1,4001400 €",No,Rue du Virginal 83 7090- Hennuyères,http://www.inmgroup.be,4663032,Hainaut,After signing the deed,,2000,,3,,149m²square meters,38m²square meters,Semi equipped,20m²square meters,12m²square meters,10m²square meters,1,1,,No,1650m²square meters,,,,50m²square meters,No,Yes,,,No,Electric,Yes,,,,10m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,
10097333,As new,4,1,,3,1,,450m²square meters,,169 kWh/m²kilowatt hour per square meters,B,20220901002445,27 kg CO₂/m²,27857 kWh/year,"€ 375,000375000 €","€ 1,1201120 €",No,Rue Saint-Achaire 86 7700- Mouscron,http://www.likeimmo.be,4896675,Hainaut,After signing the deed,August 29 2022 - 12:00 AM,2000,,1,,165m²square meters,35m²square meters,Installed,12m²square meters,10m²square meters,10m²square meters,1,1,Yes,No,745m²square meters,,,,40m²square meters,,,,,,Gas,Yes,,Link to the virtual visit,,14m²square meters,,,,,,"Living area (residential, urban or rural)",Yes,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9943956,As new,4,2,,3,1,Yes,,Yes,411 kWh/m²kilowatt hour per square meters,E,20220416002192,Not specified,84427 kWh/year,"Make an offer starting from€ 350,000Make an offer starting from350000 €",€ 819819 €,No,"rue du Gouvernement, 29 7000- MONS",,,Hainaut,Immediately,,,,4,"Living area (residential, urban or rural)",206m²square meters,66m²square meters,Installed,13m²square meters,23m²square meters,15m²square meters,1,2,Yes,,1219m²square meters,,Connected,,,,Yes,Yes,Yes,Yes,Gas,Yes,,,1,,,,,Yes,,,,,,Yes,,,,,Yes,Yes,,,,Yes,,,,,Yes,,,,,,,,No,,Yes,,,,,,,,,,,Rémi HUBERT,,,,,,,,,,,,,,,,,,,,,
