,Available as of,Construction year,Building condition,Number of frontages,Outdoor parking spaces,Living area,How many fireplaces?,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bathrooms,Toilets,Basement surface,Furnished,Surface of the plot,Garden,Garden orientation,Secure access / alarm,Swimming pool,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,As built plan,Heating type,Double glazing,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Street frontage width,Covered parking spaces,Surroundings type,Living room,Dressing room,Office,Width of the lot on the street,Garden surface,Caretaker,Elevator,Accessible for disabled people,Intercom,TV cable,Visio phone,Conformity certification for fuel tanks,Heat pump,Planning permission obtained,Obligation to build,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Dining room,Basement,Terrace,Subdivision permit,Shower rooms,Land is facing street,Wooded land,Plot at rear,Flat land,Connection to sewer network,"Gas, water &amp; electricity",Laundry room,Total ground floor buildable,Agent's name,Available date,Bedroom 4 surface,Bedroom 5 surface,Neighbourhood or locality,Living room surface,Terrace surface,Professional space,Armored door,Air conditioning,Jacuzzi,Sauna,Internet,Photovoltaic solar panels,Thermic solar panels,Common water heater,Type of building,Attic,Virtual visit,E-level (overall energy performance),Property name,Office surface,Professional space surface,Terrace orientation,Attic surface,Number of annexes,Isolated,Extra information,Monthly charges,Percentage rented,Venue of the sale,Single session,Terms of visit,Starting price,Current monthly revenue,EPC description,Sea view,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitant,Maximum duration of annuity
10161036,After signing the deed,1981,Just renovated,4,3,200m²square meters,,USA hyper equipped,,4,15m²square meters,12m²square meters,12m²square meters,3,4,,No,441m²square meters,,,Yes,No,173 kWh/m²kilowatt hour per square meters,B,Not specified,89 kg CO₂/m²,Not specified,,,Yes,"€ 1,350,0001350000 €","€ 1,4121412 €",No,Albert plein 10 8300- Knokke - Heist,http://www.cambierdenil.be,4970738,West Flanders,,1,"Living area (residential, urban or rural)",Yes,,,,441m²square meters,,No,No,,Yes,,,,Yes,,No,No,Non flood zone,,,,Yes,No,3,,,,,Connected,Yes,,,,December 1 2022 - 12:00 AM,10m²square meters,,3 - KNOKKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10138252,After signing the deed,1957,Good,4,10,700m²square meters,1,Hyper equipped,30m²square meters,3,27m²square meters,23m²square meters,,3,5,,No,4047m²square meters,,,Yes,Yes,437 kWh/m²kilowatt hour per square meters,E,Not specified,Not specified,Not specified,No,Fuel oil,Yes,"€ 795,000795000 €","€ 3,4603460 €",No,"Roterijstraat, 202 8793- Waregem",http://www.immobeguin.be/,20656 - 3851,West Flanders,,3,,,,Yes,,,,,,,,,,,,,,,Non flood zone,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10134918,After signing the deed,1972,To renovate,2,1,206m²square meters,1,Installed,,3,,,,1,2,,No,262m²square meters,Yes,South West,,,428 kWh/m²kilowatt hour per square meters,E,02672585,Not specified,Not specified,No,Fuel oil,Yes,"€ 336,000336000 €","€ 1,0261026 €",No,Franchommelaan 82-86 8370- Blankenberge,http://www.immomarina.com,14206 - BH290,West Flanders,9 m,1,Landscape,,,,,,,,,,,,"Yes, conform",,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUBENSLAAN 5,,,,,,,,,,,,,,,,,,,,,,,,,
10115331,Immediately,1971,Just renovated,2,,230m²square meters,,Installed,,4,,,,2,2,,No,115m²square meters,,,,,268 kWh/m²kilowatt hour per square meters,C,Not specified,Not specified,Not specified,No,Gas,,"€ 520,000520000 €",€ 904904 €,No,"Roterijstraat, 202 8793- Waregem",http://www.immobeguin.be/,20420 - VK 4149,West Flanders,,,,,,,,,,Yes,,,,,,,,,No,,Non flood zone,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9983565,After signing the deed,1992,Good,4,20,450m²square meters,2,Installed,,5,36m²square meters,26m²square meters,14m²square meters,1,3,6m²square meters,No,1835m²square meters,Yes,South West,,,221 kWh/m²kilowatt hour per square meters,C,20210509-002412417,Not specified,Not specified,No,Fuel oil,Yes,"€ 850,000850000 €","€ 2,9002900 €",No,"Roterijstraat, 202 8793- Waregem",http://www.immobeguin.be/,19150 - 3856,West Flanders,,2,,,,,,,,,,,,,"Yes, conform",,,,,,,,Yes,,Yes,,,,,,,,,,,,,14m²square meters,12m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10093135,Immediately,1989,Good,4,2,285m²square meters,,Installed,22m²square meters,5,15m²square meters,15m²square meters,16m²square meters,2,3,,No,941m²square meters,,,Yes,No,373 kWh/m²kilowatt hour per square meters,D,202207220002638021-RES-1,Not specified,Not specified,,Electric,Yes,"€ 550,000550000 €","€ 1,5361536 €",No,Zonnewende 3 8500- Kortrijk,http://www.henryhouser.be,4803515,West Flanders,10 m,1,"Living area (residential, urban or rural)",,,Yes,10 mmeters,750m²square meters,,No,No,,Yes,,,,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)",Yes,,,Yes,2,,,,,Connected,No,,200m²square meters,,,21m²square meters,26m²square meters,,37m²square meters,57m²square meters,,,,,,,,Yes,,,Yes,Link to the virtual visit,,,22m²square meters,,,,,,,,,,,,,,,,,,,,,,,,
10135243,After signing the deed,1992,Good,4,20,450m²square meters,2,Installed,,5,36m²square meters,26m²square meters,14m²square meters,1,3,6m²square meters,No,1835m²square meters,Yes,South West,,,221 kWh/m²kilowatt hour per square meters,C,20210509-002412417,Not specified,Not specified,No,Fuel oil,Yes,"€ 850,000850000 €","€ 2,9002900 €",No,"Roterijstraat, 202 8793- Waregem",http://www.immobeguin.be/,20610 - VK 4002,West Flanders,,2,,,,,,,,,,,,,"Yes, conform",,,,,,,,Yes,,Yes,,,,,,,,,,,,,14m²square meters,12m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10096266,To be defined,,As new,4,5,329m²square meters,1,Hyper equipped,,5,,,,2,3,,No,1216m²square meters,,South East,No,Yes,270 kWh/m²kilowatt hour per square meters,C,20220412-0002033907-RES-2,Not specified,Not specified,,Gas,Yes,"€ 865,000865000 €",€ 950950 €,Yes,Noordzandstraat 66 8000- Brugge,http://www.huysnoord.be,spir1089,West Flanders,14 m,1,,Yes,Yes,No,26 mmeters,535m²square meters,No,No,Yes,No,Yes,No,No,No,Yes,No,No,,Non flood zone,"Living area (residential, urban or rural)",,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10109147,After signing the deed,2007,As new,4,5,301m²square meters,1,Hyper equipped,,4,,,,2,4,,No,2616m²square meters,,,Yes,No,207 kWh/m²kilowatt hour per square meters,C,2670105,Not specified,Not specified,No,Gas,Yes,"€ 845,000845000 €","€ 1,6921692 €",No,Noordzandstraat 66 8000- Brugge,http://www.huysnoord.be,spir1157,West Flanders,20 m,4,,Yes,Yes,No,26 mmeters,1250m²square meters,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,No,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10165409,After signing the deed,1967,To be done up,4,,184m²square meters,,Installed,,4,,,,1,,,No,2088m²square meters,,,,,593 kWh/m²kilowatt hour per square meters,F,20221010-0002691775-RES-2,Not specified,Not specified,No,Fuel oil,Yes,"€ 349,000349000 €",,No,Oostendsesteenweg 216B 8480- Eernegem,,2414 - 2542,West Flanders,13 m,1,,,,,18 mmeters,,,,,,,,,,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)",,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10106732,After signing the deed,,As new,2,2,579m²square meters,,Installed,,10,,,,4,5,,No,277m²square meters,,South East,Yes,No,221 kWh/m²kilowatt hour per square meters,C,20220909-0002671937-RES-1,Not specified,Not specified,,Gas,Yes,"€ 1,149,0001149000 €","€ 1,1921192 €",Yes,Noordzandstraat 66 8000- Brugge,http://www.huysnoord.be,spir1143,West Flanders,9.4 m,1,Urban,Yes,Yes,No,9.4 mmeters,53m²square meters,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Non flood zone,Residential area with cultural historical aesthetic value,,,,,3,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10105852,After signing the deed,2004,Good,2,1,180m²square meters,,Hyper equipped,8m²square meters,5,16m²square meters,15m²square meters,10m²square meters,2,3,,No,145m²square meters,,,Yes,No,131 kWh/m²kilowatt hour per square meters,B,2535398,Not specified,Not specified,,Gas,Yes,"€ 1,375,0001375000 €","€ 1,4051405 €",No,Zeedijk Zoute 792 8300- Knokke-Heist,http://www.dirkwillemyns.be,4927506,West Flanders,6.2 m,1,,,,,6.2 mmeters,,,No,No,,,,,,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)",,,Yes,No,2,,,,,,,,,,March 31 2022 - 12:00 AM,10m²square meters,10m²square meters,Het Zoute,39m²square meters,,,,,,,,,,,,,Link to the virtual visit,,,,,,,,,,,,,,,,,,,,,,,,,,,
9765391,After signing the deed,1958,Good,2,,130m²square meters,,Installed,,3,,,,2,2,,Yes,140m²square meters,,,,,208 kWh/m²kilowatt hour per square meters,C,02548531,Not specified,Not specified,No,Gas,,"€ 265,000265000 €",€ 894894 €,No,Franchommelaan 82-86 8370- Blankenberge,http://www.immomarina.com,11159 - BH284,West Flanders,,,Landscape,,,,,,,,,,,,,,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,No,,,,,,,,,,,,,,,,34m²square meters,,,,,,,,,,,,,,JOZEF PONJAERTSTRAAT 17,,,,,,,,,,,,,,,,,,,,,,,,,
10130525,After signing the deed,2022,As new,2,,127m²square meters,,Hyper equipped,,3,,,,1,,,No,121m²square meters,,,,No,152 kWh/m²kilowatt hour per square meters,B,20220916-0002676693-RES-1,152 kg CO₂/m²,Not specified,"Yes, conform",Gas,Yes,"€ 320,000320000 €",,No,Moerkerkse Steenweg 1 8310- Brugge,http://www.immax.be,4956246,West Flanders,,,Urban,,,,,40m²square meters,,No,No,,Yes,,"Yes, conform",,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,No,,,,,,Connected,Yes,,,,September 22 2022 - 12:00 AM,,,,,19m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10106173,Depending on the tenant,2006,Good,3,3,530m²square meters,,USA installed,,4,14m²square meters,13m²square meters,15m²square meters,3,,,No,434m²square meters,,,,,167 kWh/m²kilowatt hour per square meters,B,202201210003530450-RES-1,Not specified,Not specified,,Gas,,"€ 665,000665000 €",,Yes,Moerkerkse Steenweg 1 8310- Brugge,http://www.immax.be,4927956,West Flanders,,1,"Living area (residential, urban or rural)",Yes,,,,,,,,,,,,,Yes,,Yes,,Non flood zone,"Living area (residential, urban or rural)",,,,Yes,,,,,,,,,,,,11m²square meters,,Brugge centrum,,32m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9907705,To be defined,1820,Good,4,6,530m²square meters,,USA hyper equipped,,4,,,,4,,,Yes,4997m²square meters,,,,No,327 kWh/m²kilowatt hour per square meters,D,0002457319-KNR-1,Not specified,Not specified,,Gas,Yes,"Make an offer starting from€ 2,000,000Make an offer starting from2000000 €",,No,Moerkerkse Steenweg 1 8310- Brugge,http://www.immax.be,4757133,West Flanders,,4,"Living area (residential, urban or rural)",,,,,4000m²square meters,,No,No,,Yes,,,,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,No,,,,,,Connected,Yes,,,,,,,Assebroek,,100m²square meters,,,,,,,,,,,,Link to the virtual visit,,,,,,,,,,,,,,,,,,,,,,,,,,,
10132412,After signing the deed,2022,As new,4,3,365m²square meters,,Hyper equipped,,4,22m²square meters,20m²square meters,18m²square meters,4,4,,Yes,788m²square meters,,,Yes,No,77 kWh/m²kilowatt hour per square meters,A,23478999,56 kg CO₂/m²,Not specified,,Gas,Yes,"€ 3,695,0003695000 €",,No,Albert plein 10 8300- Knokke - Heist,http://www.cambierdenil.be,4957338,West Flanders,,2,"Living area (residential, urban or rural)",,,,,788m²square meters,,No,Yes,Yes,Yes,,,,Yes,,No,No,Non flood zone,,,,Yes,No,3,,,,,Connected,Yes,,,,October 31 2022 - 12:00 AM,16m²square meters,,1 ZOUTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10166501,After signing the deed,2022,Good,2,,140m²square meters,,Installed,,3,16m²square meters,14m²square meters,13m²square meters,2,2,,No,260m²square meters,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,No,,Yes,"€ 340,000340000 €",,No,"Roterijstraat, 202 8793- Waregem",http://www.immobeguin.be/,20855 - VK,West Flanders,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9918709,Depending on the tenant,2018,As new,2,,330m²square meters,,USA installed,,9,,,,9,,,Yes,110m²square meters,,,,No,131 kWh/m²kilowatt hour per square meters,B,31005-G-20131968/EP02493/A001/D01/SD005,Not specified,Not specified,,Gas,,"€ 1,795,0001795000 €",,Yes,Moerkerkse Steenweg 1 8310- Brugge,http://www.immax.be,4717822,West Flanders,,2,Urban,Yes,,,,,,Yes,Yes,,,,,,Yes,,No,,Non flood zone,"Living area (residential, urban or rural)",,,,Yes,,,,,,,,,,,,,,Brugge centrum,,30m²square meters,,,,,,,,,,,,Link to the virtual visit,,,,,,,,,,,,,,,,,,,,,,,,,,,
10160212,After signing the deed,,Good,2,3,190m²square meters,,Hyper equipped,,4,20m²square meters,15m²square meters,12m²square meters,3,4,,,270m²square meters,,,Yes,No,206 kWh/m²kilowatt hour per square meters,C,422558865,1 kg CO₂/m²,Not specified,,Gas,Yes,"€ 1,350,0001350000 €",€ 751751 €,No,Albert plein 10 8300- Knokke - Heist,http://www.cambierdenil.be,4970283,West Flanders,,1,"Living area (residential, urban or rural)",,,,,270m²square meters,,No,No,,Yes,,,,Yes,,No,No,Non flood zone,,,,,No,2,,,,,Connected,Yes,,,,December 1 2022 - 12:00 AM,10m²square meters,,3 - KNOKKE,,20m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10062490,After signing the deed,1935,To be done up,3,,130m²square meters,,Semi equipped,,3,,,,1,1,,No,58m²square meters,,,,,462 kWh/m²kilowatt hour per square meters,E,20180814-0002082273-1,Not specified,Not specified,No,Gas,Yes,"€ 149,500149500 €",€ 290290 €,No,"Yv. Serruysstraat, 22 8930- Menen",,12298 - 4727946,West Flanders,,,,,,,4.4 mmeters,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9272402,After signing the deed,1956,To renovate,2,,75m²square meters,,Installed,,3,,,,1,1,,Yes,61m²square meters,,,,,1081 kWh/m²kilowatt hour per square meters,F,0002388636,Not specified,Not specified,No,Gas,,"€ 150,000150000 €",€ 515515 €,No,Franchommelaan 82-86 8370- Blankenberge,http://www.immomarina.com,6808 - BH276,West Flanders,,,Urban,,,,,,,,,,,,,,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)",,Yes,,No,,,,,,,,,,,,,,,,30m²square meters,,,,,,,,,,,,,,SERGEANT DE BRUYNESTRAAT 32A,,,,,,,,,,,,,,,,,,,,,,,,,
10161153,After signing the deed,,As new,2,,,,Installed,,2,,,,1,2,,No,93m²square meters,,South West,No,No,274 kWh/m²kilowatt hour per square meters,C,2690424,Not specified,Not specified,No,Gas,Yes,"€ 279,000279000 €",€ 497497 €,Yes,Noordzandstraat 66 8000- Brugge,http://www.huysnoord.be,spir1204,West Flanders,,,Urban,Yes,No,No,,20m²square meters,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Non flood zone,Residential area with cultural historical aesthetic value,,,,No,,,,,,,,,,,,,,,,20m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10083521,Immediately,2021,As new,3,2,260m²square meters,,Hyper equipped,,3,17m²square meters,12m²square meters,,3,4,,No,2500m²square meters,,,,,34 kWh/m²kilowatt hour per square meters,A,34022-G-2015/00203/EP09368/W203/D01/SD001,Not specified,Not specified,No,,Yes,"€ 995,000995000 €",,No,"Roterijstraat, 202 8793- Waregem",http://www.immobeguin.be/,20134 - VK 4196,West Flanders,,1,,,,,,,,Yes,,,,,,,,,,,Non flood zone,,,,,,,,,,,,,,,,,,,,,40m²square meters,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,
10100923,After signing the deed,1978,To renovate,3,2,142m²square meters,,Semi equipped,,3,,,,1,2,,No,357m²square meters,,,,,311 kWh/m²kilowatt hour per square meters,D,2513663,Not specified,Not specified,No,Gas,Yes,"€ 220,000220000 €",€ 423423 €,No,"Yv. Serruysstraat, 22 8930- Menen",,12311 - 4727951,West Flanders,,2,,,,,9.85 mmeters,272m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30m²square meters,23m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9973920,After signing the deed,2008,As new,3,,162m²square meters,,Installed,,4,,,,3,,,No,83m²square meters,,,No,No,189 kWh/m²kilowatt hour per square meters,B,2593991,Not specified,Not specified,No,Gas,Yes,"€ 565,000565000 €",€ 608608 €,Yes,Noordzandstraat 66 8000- Brugge,http://www.huysnoord.be,spir1123,West Flanders,15 m,,Urban,Yes,No,No,5.5 mmeters,,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,No,,,,,,,,,83m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9825909,After signing the deed,1936,To renovate,4,2,215m²square meters,,USA semi equipped,,6,18m²square meters,16m²square meters,14m²square meters,3,2,,,249m²square meters,,,,,616 kWh/m²kilowatt hour per square meters,F,2225901,89 kg CO₂/m²,Not specified,,Gas,,"€ 975,000975000 €","€ 1,2891289 €",No,Albert plein 10 8300- Knokke - Heist,http://www.cambierdenil.be,4713106,West Flanders,,1,Landscape,Yes,,,,249m²square meters,,,,,,,,,,,,,Non flood zone,,,,Yes,,2,,,,,,,,,,August 10 2022 - 12:00 AM,12m²square meters,12m²square meters,3 - KNOKKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9998919,After signing the deed,2015,As new,3,4,252m²square meters,,USA semi equipped,,5,,,,4,5,,,458m²square meters,,,Yes,,102.51 kWh/m²kilowatt hour per square meters,B,31043-G-2012_167/EP07361/A002/D01/SD001,Not specified,Not specified,,Gas,Yes,"€ 2,155,0002155000 €",,No,Sparrendreef 80 8300- Knokke,http://www.immobrownknokke.be,4836589,West Flanders,,1,Isolated,,,,,,,No,No,Yes,Yes,,,,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)",,,Yes,,2,,,,,Connected,Yes,,,,,,,Knokke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10034094,After signing the deed,2004,Just renovated,4,4,445m²square meters,,USA hyper equipped,,5,40m²square meters,20m²square meters,18m²square meters,4,3,,,937m²square meters,,,Yes,Yes,193 kWh/m²kilowatt hour per square meters,B,0001743161,89 kg CO₂/m²,Not specified,,Gas,,"€ 2,755,0002755000 €","€ 2,2282228 €",No,Albert plein 10 8300- Knokke - Heist,http://www.cambierdenil.be,4852180,West Flanders,,1,Isolated,,,Yes,,937m²square meters,,No,No,Yes,,,,,,,,,Non flood zone,,,,Yes,,3,,,,,Connected,No,,,,January 9 2023 - 12:00 AM,16m²square meters,16m²square meters,2 - RAND ZOUTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10121977,After signing the deed,1977,Good,3,2,222m²square meters,,USA hyper equipped,,4,16m²square meters,14m²square meters,12m²square meters,2,3,,No,515m²square meters,,,,No,267 kWh/m²kilowatt hour per square meters,C,20220224-0002552383-RES-2,9999 kg CO₂/m²,Not specified,,Gas,Yes,"€ 3,650,0003650000 €","€ 1,9991999 €",No,Albert plein 68300- Knokke,http://www.christophecolpaert.be,4902711,West Flanders,,1,"Living area (residential, urban or rural)",,,,,515m²square meters,,No,No,,Yes,,,,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)",,Yes,Yes,No,2,,,,,Connected,Yes,,,,September 6 2022 - 12:00 AM,,,Knokke-Zoute,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9941407,After signing the deed,2004,Good,2,2,180m²square meters,,USA installed,,5,,,,2,3,,No,145m²square meters,,,,No,131 kWh/m²kilowatt hour per square meters,B,2535398,131 kg CO₂/m²,Not specified,,,,"€ 1,375,0001375000 €",,No,Kustlaan 105 8300- Knokke-Heist,http://www.hetzoute.be,4785051,West Flanders,,2,Isolated,Yes,,,,,,No,Yes,,,,,,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)",,,Yes,No,1,,,,,,,,,,May 31 2022 - 12:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9923424,After signing the deed,2005,As new,3,4,238m²square meters,,Hyper equipped,,4,17m²square meters,12m²square meters,12m²square meters,4,4,,Yes,599m²square meters,,,Yes,No,172 kWh/m²kilowatt hour per square meters,B,1456570,8195 kg CO₂/m²,Not specified,,Gas,Yes,"€ 3,850,0003850000 €","€ 2,3232323 €",No,Albert plein 68300- Knokke,http://www.christophecolpaert.be,4741743,West Flanders,,2,Isolated,Yes,,Yes,,599m²square meters,,No,No,,Yes,,,,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)",,,Yes,No,3,,,,,Connected,Yes,,,,May 15 2022 - 12:00 AM,12m²square meters,,Knokke-Zoute,,,,,,,,,,,,,,Link to the virtual visit,,,,,,,,,,,,,,,,,,,,,,,,,,,
10036081,After signing the deed,1928,As new,3,4,260m²square meters,,USA hyper equipped,,5,25m²square meters,20m²square meters,22m²square meters,3,4,,,925m²square meters,,,Yes,No,484 kWh/m²kilowatt hour per square meters,E,20220216-0002547482-1,89 kg CO₂/m²,Not specified,No,Fuel oil,,"€ 3,995,0003995000 €","€ 1,9081908 €",No,Albert plein 10 8300- Knokke - Heist,http://www.cambierdenil.be,4853985,West Flanders,,1,Urban,,,Yes,,925m²square meters,,No,No,,,,,,Yes,,No,No,Non flood zone,,,Yes,Yes,No,3,,,,,Connected,Yes,,,,February 6 2023 - 12:00 AM,18m²square meters,16m²square meters,1 ZOUTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10148249,After signing the deed,1984,To be done up,4,,343m²square meters,,Installed,,5,,,,1,,,No,979m²square meters,,,,,382 kWh/m²kilowatt hour per square meters,D,20220930-0002680910-RES-1,Not specified,Not specified,No,Gas,Yes,"€ 329,000329000 €","€ 1,3731373 €",Yes,Oostendsesteenweg 216B 8480- Eernegem,,2407 - 2383,West Flanders,17 m,3,,,,,30 mmeters,,,,,,,,,,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,No,,,,,,,,,,,,,,torhout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10148248,After signing the deed,1977,Good,3,,185m²square meters,,Installed,,3,,,,1,,,No,547m²square meters,,,,,166 kWh/m²kilowatt hour per square meters,B,20220906-0002669384-RES-1,Not specified,Not specified,No,Gas,Yes,"€ 349,000349000 €",€ 704704 €,No,Oostendsesteenweg 216B 8480- Eernegem,,2402 - 2535,West Flanders,7 m,,,,,,13 mmeters,,,,,,,,,,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,Yes,,,,,,,,,,,,,,torhout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10155855,After signing the deed,,To be done up,2,,119m²square meters,,Semi equipped,,3,,,,1,1,,No,170m²square meters,,,,,614 kWh/m²kilowatt hour per square meters,F,20221005-0002690234-RES-1,Not specified,Not specified,No,Gas,,"€ 173,000173000 €",€ 470470 €,No,Stationsstraat 18 8500- Kortrijk,http://www.century21viaplus.be,14697 - 292105,West Flanders,,1,,,,,,,,,,,,,,,,,,,Non flood zone,"Living area (residential, urban or rural)",,Yes,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10148247,After signing the deed,1984,To be done up,4,,343m²square meters,,Installed,,5,,,,1,,,No,979m²square meters,,,,,382 kWh/m²kilowatt hour per square meters,D,20220930-0002680910-RES-1,Not specified,Not specified,No,Gas,Yes,"€ 329,000329000 €","€ 1,3731373 €",No,Oostendsesteenweg 216B 8480- Eernegem,,2394 - 2383,West Flanders,17 m,3,,,,,30 mmeters,,,,,,,,,,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,No,,,,,,,,,,,,,,torhout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9992115,After signing the deed,1957,Good,2,1,180m²square meters,,Semi equipped,,4,,,,1,1,,No,219m²square meters,,,,,443 kWh/m²kilowatt hour per square meters,E,20211223-0002513748-RES-1,Not specified,Not specified,No,Fuel oil,,"€ 245,000245000 €",€ 354354 €,No,"Yv. Serruysstraat, 22 8930- Menen",,12273 - 4727931,West Flanders,7 m,,,,,,7 mmeters,80m²square meters,,,,,,,,,,,No,No,Non flood zone,"Living area (residential, urban or rural)",,Yes,,No,,,,,,,,,,,,,,,40m²square meters,30m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10072815,After signing the deed,1934,Good,2,,105m²square meters,,Semi equipped,,2,,,,1,1,,No,69m²square meters,,,,,537 kWh/m²kilowatt hour per square meters,F,20200812-0002303205-RES-1,Not specified,Not specified,No,,Yes,"€ 105,000105000 €",€ 307307 €,No,"Yv. Serruysstraat, 22 8930- Menen",,12296 - 4727945,West Flanders,5 m,,,,,,5 mmeters,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10120838,Immediately,1972,,,,150m²square meters,,Installed,10m²square meters,3,10m²square meters,10m²square meters,10m²square meters,1,1,,No,357m²square meters,Yes,South,,,250 kWh/m²kilowatt hour per square meters,C,20220701-0002633536-RES-1,Not specified,Not specified,No,Gas,Yes,"€ 249,500249500 €",€ 602602 €,No,"Roterijstraat, 202 8793- Waregem",http://www.immobeguin.be/,20495 - VK 4106,West Flanders,,1,,,,,,,,,,,,,,,,,Yes,,Non flood zone,"Living area (residential, urban or rural)",,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
