,Available as of,Available date,Construction year,Building condition,Number of frontages,Outdoor parking spaces,Surroundings type,Living area,Living room surface,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bathrooms,Shower rooms,Toilets,Office surface,Office,Furnished,Surface of the plot,Connection to sewer network,"Gas, water &amp; electricity",Garden surface,Elevator,Accessible for disabled people,TV cable,Swimming pool,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,As built plan,Heating type,Planning permission obtained,Subdivision permit,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Street frontage width,Covered parking spaces,Bedroom 3 surface,Bedroom 4 surface,Basement,Attic,Width of the lot on the street,Terrace surface,Double glazing,Total ground floor buildable,Virtual visit,Bedroom 5 surface,Conformity certification for fuel tanks,Terrace,Neighbourhood or locality,Dining room,Secure access / alarm,Dressing room,Basement surface,Land is facing street,Wooded land,Plot at rear,Flat land,Garden,Garden orientation,Caretaker,Intercom,Visio phone,Type of building,Obligation to build,E-level (overall energy performance),Thermic solar panels,How many fireplaces?,Laundry room,Professional space surface,Professional space,Attic surface,Armored door,Terrace orientation,Number of annexes,Air conditioning,Jacuzzi,Sauna,Internet,Heat pump,Photovoltaic solar panels,Common water heater,Living room,Agent's name,Current monthly revenue,Isolated,Venue of the sale,Single session,Terms of visit,Starting price,Property name,Percentage rented,Monthly charges,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitants,Date of the sale
10064054,,,1959,To be done up,3,,,171m²square meters,,,,2,,,1,,,,,No,514m²square meters,Connected,Yes,,No,No,Yes,No,498 kWh/m²kilowatt hour per square meters,E,20220810-0002653420-RES-1,Not specified,Not specified,,Fuel oil,,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 255,000255000 €",,No,Holstraat 86 8790- Waregem,http://www.era.be/bossuyt,22568,East Falnders,6 m,,,,Yes,,10 mmeters,,Yes,,,,,,,Yes,No,,,,,,,,,,,,,,498,No,,,,,,No,,,,No,No,,No,No,No,,,,,,,,,,,,,,,,,,,,
9801089,,,1952,Just renovated,,,Urban,155m²square meters,,Installed,,3,17m²square meters,16m²square meters,1,,2,7m²square meters,Yes,No,110m²square meters,Connected,Yes,20m²square meters,No,No,Yes,No,227 kWh/m²kilowatt hour per square meters,C,20180725--000207824-4--1,Not specified,Not specified,,Gas,Yes,,No,,Non flood zone,"Living area (residential, urban or rural)","€ 275,000275000 €",€ 379379 €,No,Dendermondsesteenweg 28 9300- Aalst,http://www.woonbemiddeling.com,6398,East Falnders,5 m,3,14m²square meters,,,,5 mmeters,18m²square meters,Yes,,,,,,,,No,No,,No,No,No,No,,South West,No,No,No,,No,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10103281,,,1930,As new,,,Countryside,241m²square meters,,USA installed,19m²square meters,3,18m²square meters,18m²square meters,1,,1,,No,No,291m²square meters,Not connected,No,,No,No,Yes,No,682 kWh/m²kilowatt hour per square meters,F,20220517-0002605497-RES-1,Not specified,Not specified,,Pellet,Yes,No,No,,Non flood zone,"Living area (residential, urban or rural)","€ 275,000275000 €",€ 480480 €,No,Dendermondsesteenweg 28 9300- Aalst,http://www.woonbemiddeling.com,6450,East Falnders,9 m,3,12m²square meters,,,,12 mmeters,,Yes,,,,,,,,No,No,,No,No,No,No,Yes,South West,No,No,No,,No,,,,,,,61m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10095988,,,1988,To renovate,4,,,526m²square meters,,,,5,,,2,,2,,,No,5089m²square meters,,,,Yes,,,,746 kWh/m²kilowatt hour per square meters,F,20220905-0002667161-RES1,Not specified,Not specified,No,Electric,,,,,,,"€ 2,650,0002650000 €",,No,Latemstraat 29 9830- sint-martens-latem,http://www.agencedemanet.be,561 - 1464,East Falnders,,2,,,,,,,Yes,,,,,Yes,,,,,,,,,,Yes,South West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9354334,,,1918,Good,2,,Urban,167m²square meters,,Not installed,,3,,,,,2,,No,No,49m²square meters,Connected,Yes,,,,,,441 kWh/m²kilowatt hour per square meters,E,20210109-0002344951-KNR-1,Not specified,Not specified,,,,No,Yes,No,Non flood zone,Residential area with cultural historical aesthetic value,"€ 419,000419000 €","€ 1,0801080 €",No,Godveerdegemstraat 76 bus 1 9620- Zottegem,http://www.optimumvastgoed.be/,TK-108-GEN-TDR,East Falnders,9 m,,,,,,9 mmeters,,No,49m²square meters,,,,,,,,,49m²square meters,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,
10064660,,,1989,To be done up,,,,231m²square meters,,Installed,16m²square meters,2,14m²square meters,27m²square meters,1,,1,,No,,3000m²square meters,Not connected,No,,,,,,375 kWh/m²kilowatt hour per square meters,D,2618907,Not specified,Not specified,,Fuel oil,Yes,No,No,No,Non flood zone,Farming area,"€ 695,000695000 €",€ 934934 €,No,Coupure-Rechts 620 9000- Gent,http://www.gentill.be,GGH0043,East Falnders,12 m,1,,,,,30 mmeters,,Yes,500m²square meters,Link to the virtual visit,,,,,,,No,,No,No,No,No,Yes,South West,,,,All kind,No,,,,,,,57m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10110485,,,2015,Good,4,2,Countryside,260m²square meters,,Installed,,4,,,2,,3,,Yes,No,1229m²square meters,Connected,No,,No,No,Yes,No,117 kWh/m²kilowatt hour per square meters,B,2661497,Not specified,Not specified,,,Yes,No,Yes,No,Non flood zone,Farming area,"€ 845,000845000 €","€ 1,2591259 €",No,Kortrijksesteenweg 19 9830- Sint-Martens-Latem,http://www.irres.be,953V,East Falnders,9.24 m,,,,,,30 mmeters,60m²square meters,Yes,,,,,,,Yes,Yes,,,,,,,Yes,South West,,No,No,,,,,,,,,,Yes,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,
10166506,,,1990,Good,2,,,401m²square meters,50m²square meters,USA installed,16m²square meters,4,18m²square meters,28m²square meters,2,,3,,Yes,,285m²square meters,,,,,,,,226 kWh/m²kilowatt hour per square meters,C,202207180002642774-RES1,Not specified,Not specified,,Gas,,,,,,,"€ 450,000450000 €","€ 2,4122412 €",No,Kerkstraat 127 2870- Ruisbroek (Puurs),http://www.treetops.be,4973324,East Falnders,9.3 m,1,29m²square meters,16m²square meters,,,,44m²square meters,Yes,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10167006,,,1997,Good,2,,,178m²square meters,25m²square meters,,10m²square meters,4,,,1,,,,,No,141m²square meters,Connected,Yes,,No,No,Yes,No,196 kWh/m²kilowatt hour per square meters,B,20220204-0002539807-RES-1,Not specified,Not specified,,Gas,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 382,000382000 €","€ 1,0111011 €",No,Vredestraat 12 8700- Tielt,http://www.era.be/lafaut,,East Falnders,7 m,,,,,,7 mmeters,,Yes,,,,,,,,No,,,,,,,,,,,,,,196,No,,,,,,No,,,,No,No,,No,No,No,,,,,,,,,,,,,,,,,,,,
10148295,,,1960,To renovate,,,,155m²square meters,,Semi equipped,13m²square meters,3,15m²square meters,11m²square meters,1,,1,,No,,329m²square meters,Not connected,Yes,138m²square meters,,,,,498 kWh/m²kilowatt hour per square meters,E,20220314-0002563501-RES-1,Not specified,Not specified,,,Yes,No,No,,,"Living area (residential, urban or rural)","€ 285,000285000 €",€ 676676 €,No,Dendermondsesteenweg 28 9300- Aalst,http://www.woonbemiddeling.com,6435C,East Falnders,16 m,,11m²square meters,,,,33 mmeters,12m²square meters,No,,,,,,,Yes,,No,,No,No,No,No,,,,,,,No,,,,,,,60m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10152662,,,1935,Good,2,,,123m²square meters,,Installed,,3,,,,,,,No,No,90m²square meters,Connected,Yes,25m²square meters,,,,,154 kWh/m²kilowatt hour per square meters,B,20220428-0002592713-RES-1,Not specified,Not specified,,,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 395,000395000 €",,No,Dendermondesteenweg 473 9070- Destelbergen,http://www.immo09.be,2022CDVTK176,East Falnders,4.6 m,,,,,,4.6 mmeters,,Yes,65m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,
10152715,,,1899,To renovate,3,,Urban,140m²square meters,,,,3,,,1,,2,,No,No,300m²square meters,Connected,Yes,,No,No,Yes,No,523 kWh/m²kilowatt hour per square meters,F,20220818-0002657492-RES-1,Not specified,Not specified,,Gas,,,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 189,000189000 €",€ 418418 €,Yes,Durmelaan 24 9160- Lokeren,http://www.woonhoekvastgoed.be,22/092,East Falnders,6.5 m,1,,,Yes,,6.5 mmeters,,Yes,,,,,,,,No,,,,,,,,,,No,No,,,,,,,,,,No,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,
10161514,,,1997,Good,3,,,,,,,3,,,1,,2,,No,,1110m²square meters,,No,7m²square meters,No,No,Yes,No,382 kWh/m²kilowatt hour per square meters,D,201001210000421724000000116,Not specified,Not specified,"Yes, conform",Electric,,,,,Non flood zone,,"€ 295,000295000 €",,No,,,,East Falnders,10 m,,,,,Yes,,60m²square meters,No,,,,,,,Yes,No,No,,No,No,No,No,,,No,No,No,,,,No,,,,No,,No,,,No,No,No,Yes,No,No,No,Yes,,,,,,,,,,,,,,,,,,,
10165909,,,1953,,,,,237m²square meters,,,,3,,,1,,,,No,No,790m²square meters,Connected,Yes,,No,No,Yes,No,480 kWh/m²kilowatt hour per square meters,E,2620902,Not specified,Not specified,,Gas,,No,,No,Non flood zone,"Living area (residential, urban or rural)","€ 215,000215000 €",€ 540540 €,No,Zeedijk 201 8301- Knokke-Heist,,Knokkebaan 36,East Falnders,10 m,,,,,,32 mmeters,,Yes,135m²square meters,,,,,,,No,,,,,,,Yes,South,,No,No,,,,,,,,,,No,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,
10043565,,,1931,To renovate,2,,Urban,159m²square meters,33m²square meters,Installed,,3,24m²square meters,26m²square meters,1,,2,,,,161m²square meters,Connected,No,,,,,,876 kWh/m²kilowatt hour per square meters,F,20220304-0002557379-RES-1,Not specified,Not specified,,Electric,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 215,000215000 €",€ 532532 €,No,Stationsstraat 116 9120- Beveren,http://www.homevast.be,4771980,East Falnders,,,,,,,,,Yes,,,,,Yes,,Yes,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10052893,,,1972,Just renovated,2,,Urban,140m²square meters,35m²square meters,USA hyper equipped,9m²square meters,3,10m²square meters,14m²square meters,1,1,1,,,,90m²square meters,Connected,Yes,,,,Yes,,219 kWh/m²kilowatt hour per square meters,C,20220712-0002639970-RES-1,Not specified,Not specified,,Gas,Yes,No,No,No,Non flood zone,,"€ 283,000283000 €",€ 446446 €,No,Molenstraat 77 9300- Aalst,,4865803,East Falnders,,,26m²square meters,,,,,20m²square meters,Yes,,Link to the virtual visit,,,,Oost-Vlaanderen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10113876,,,1900,To renovate,3,,,164m²square meters,,,,2,,,1,,,,No,No,276m²square meters,Connected,Yes,,,,,,425 kWh/m²kilowatt hour per square meters,E,2610804,Not specified,Not specified,,Fuel oil,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 345,000345000 €",€ 609609 €,No,Kortrijksesteenweg 19 9830- Sint-Martens-Latem,http://www.irres.be,942V,East Falnders,9.8 m,1,,,Yes,,10 mmeters,,Yes,,,,,,,,,,,,,,,Yes,South East,,,,,,,,,,,,,No,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,
10128509,,,1982,To renovate,3,4,Urban,157m²square meters,34m²square meters,Semi equipped,15m²square meters,3,15m²square meters,13m²square meters,1,,2,,,,449m²square meters,,No,,,,,,564 kWh/m²kilowatt hour per square meters,F,20210322-0002391089-RES-1,Not specified,Not specified,,Electric,Yes,Yes,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 350,000350000 €",€ 879879 €,No,Stationsstraat 116 9120- Beveren,http://www.homevast.be,4932275,East Falnders,,2,20m²square meters,,Yes,Yes,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9999154,,,1970,,3,2,,182m²square meters,40m²square meters,Installed,21m²square meters,3,18m²square meters,14m²square meters,1,,2,,,No,272m²square meters,,,,,,,,300 kWh/m²kilowatt hour per square meters,C,2223102,Not specified,Not specified,No,Gas,Yes,No,No,No,Possible flood zone,"Living area (residential, urban or rural)","€ 365,000365000 €",€ 875875 €,No,Yzerhand 14 9120- Beveren,,1902 - 2240,East Falnders,,1,10m²square meters,,Yes,,,12m²square meters,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10129572,,,1999,,4,,"Living area (residential, urban or rural)",271m²square meters,,Installed,,5,17m²square meters,20m²square meters,2,,2,,,,771m²square meters,,,,,,,,274 kWh/m²kilowatt hour per square meters,C,20210412-0000314834-RES-4,Not specified,Not specified,,Fuel oil,,,,,,,"€ 495,000495000 €","€ 1,2871287 €",,Walestraat 9130- Verrebroek,http://www.marcelvastgoed.be,,East Falnders,,2,13m²square meters,13m²square meters,,Yes,,,Yes,,,10m²square meters,"Yes, conform",,,,,,,,,,,Yes,South West,,,,,,,,1,Yes,,,,,South West,,,,,,,,,,Marcel Vastgoed,,,,,,,,,,,,,,,,,,
10124753,,,1977,Good,4,,,178m²square meters,40m²square meters,Installed,13m²square meters,4,,,1,,,,,No,812m²square meters,Not connected,Yes,423m²square meters,,,,,245 kWh/m²kilowatt hour per square meters,C,20220118-0002528554-RES-1,Not specified,Not specified,,Gas,Yes,No,No,No,Recognized flood zone,Farming area,"€ 545,000545000 €","€ 1,0461046 €",No,Kasteeldreef 15 9120- Beveren,http://www.erawonen.be,2022/459,East Falnders,9 m,,,,,,16 mmeters,,Yes,,,,,,,,,,15m²square meters,,,,,,,,,,Villa,,245,No,,,,,,No,,,,,,,No,No,No,,,,,,,,,,,,,,,,,,,,
10154027,,,2002,Good,3,5,,152m²square meters,40m²square meters,Installed,8m²square meters,3,,,1,,2,,No,No,616m²square meters,Connected,Yes,,,,,,213 kWh/m²kilowatt hour per square meters,C,20130329-0001339872,Not specified,Not specified,,,Yes,Yes,No,No,,"Living area (residential, urban or rural)","€ 349,000349000 €",€ 878878 €,No,Markt31 9340-Lede,http://www.qualimmo.be,,East Falnders,7.2 m,1,,,,,18.62 mmeters,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,North West,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10158912,,,2022,Just renovated,2,,,150m²square meters,25m²square meters,,33m²square meters,2,,,1,,,,,No,76m²square meters,Not connected,Yes,20m²square meters,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,Gas,Yes,No,No,No,,"Living area (residential, urban or rural)","€ 399,000399000 €",,No,Gentse Baan 45A 9100- Sint-Niklaas,http://www.era.be/wonen,,East Falnders,,,,,,,,22m²square meters,No,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,No,,,,,,,No,No,No,,,,,,,,,,,,,,,,,,,,
10143433,,,1963,To renovate,4,,"Living area (residential, urban or rural)",220m²square meters,32m²square meters,,,4,21m²square meters,12m²square meters,1,,2,,,,577m²square meters,,,,,,,,465 kWh/m²kilowatt hour per square meters,E,20220927-0002683500-RES-1,Not specified,Not specified,,Fuel oil,,,No,,Recognized flood zone,,"€ 569,000569000 €","€ 1,4691469 €",,Boulevard Baudouin 1er 25 1348- Ottignies-Louvain-la-Neuve,,,East Falnders,,,16m²square meters,12m²square meters,,,19 mmeters,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,PANDINVEST,,,,,,,,,,,,,,,,,,
10062424,,,1937,To be done up,3,1,,138m²square meters,,,,3,,,1,,1,,No,No,314m²square meters,Connected,Yes,,,,,,369 kWh/m²kilowatt hour per square meters,D,20220811-0002653768-RES-1,Not specified,Not specified,,,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 249,000249000 €",€ 325325 €,No,Kapellestraat 55 9940- Evergem,,eve_kwadeweg_147,East Falnders,5 m,1,,,,,,,Yes,,,,,,,,,,,,,,,Yes,South,,,,,,,,,,,,,No,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,
10138214,,,1963,To be done up,,,,138m²square meters,,Installed,,2,,,1,,1,,No,,106m²square meters,Not connected,Yes,,,,,,558 kWh/m²kilowatt hour per square meters,F,Not specified,Not specified,Not specified,,Gas,Yes,No,No,,Non flood zone,"Living area (residential, urban or rural)","€ 175,000175000 €",€ 262262 €,No,Boelare 86 9900- Eeklo,,IW0201,East Falnders,,1,,,,,,,Yes,,,,,,,,,No,,No,No,No,No,Yes,South,,,,,No,,,,Yes,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,
10125793,,,1977,As new,,,,330m²square meters,,,,6,,,1,,,,No,,420m²square meters,Connected,Yes,,No,No,Yes,No,215 kWh/m²kilowatt hour per square meters,C,20220903-0002667070-RES-1,Not specified,Not specified,,,,,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 550,000550000 €",€ 649649 €,Yes,Laurent Delvauxstraat 2 9000- Gent,http://www.urbis.be,Opperstraat Moerbeke,East Falnders,14 m,,,,Yes,,14 mmeters,,Yes,149m²square meters,,,,,,Yes,No,No,,No,No,No,No,,,No,No,No,,No,,,,,,,,,,,,,,,,,,,Derde Sofie,,,,,,,Ruime gezinswoning met tal van mogelijkheden: hand,,,,,,,,,,,
10103491,,,1963,As new,,,,132m²square meters,,Installed,,3,,,1,,2,,No,,156m²square meters,Connected,No,,No,No,Yes,No,388 kWh/m²kilowatt hour per square meters,D,20220509-0002599720-RES-1,Not specified,Not specified,,Fuel oil,Yes,,No,No,,"Living area (residential, urban or rural)","€ 277,000277000 €",€ 619619 €,No,Stationstraat 20 A 9450- Haaltert,http://www.eximm.be,TK/HA/Erembodegem,East Falnders,,1,,,Yes,,,,No,,,,,Yes,,Yes,No,No,,No,No,No,No,,,No,No,No,,No,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,
9886351,,,1933,As new,,,,137m²square meters,20m²square meters,,19m²square meters,1,27m²square meters,,1,,2,,No,,100m²square meters,Connected,Yes,,No,No,Yes,No,220 kWh/m²kilowatt hour per square meters,C,20220607-0002613302-RES-1,Not specified,Not specified,,Gas,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 319,000319000 €",€ 823823 €,No,Gentsesteenweg 145 9300- Aalst,http://www.woonservicevdv.be,1192,East Falnders,6 m,,,,,,6 mmeters,,Yes,,,,,Yes,,,Yes,Yes,17m²square meters,No,No,No,No,,,No,No,No,,No,,,,,,,16m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10082971,,,1970,To renovate,4,2,,177m²square meters,44m²square meters,,15m²square meters,3,17m²square meters,17m²square meters,1,,1,,No,No,805m²square meters,Connected,Yes,,,,,,458 kWh/m²kilowatt hour per square meters,E,20220718-0002636242-RES-1,Not specified,Not specified,,,Yes,No,No,No,Possible flood zone,"Living area (residential, urban or rural)","€ 319,500319500 €",€ 748748 €,No,A. De Vlaeminckstraat 18 9400- Ninove,,,East Falnders,8 m,1,8m²square meters,,,,15 mmeters,,No,205m²square meters,,,,,,,,,10m²square meters,,,,,Yes,North West,,,,,,,,1,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10105140,,,1946,Good,4,,,172m²square meters,,,,3,,,1,,2,,No,No,3499m²square meters,Connected,Yes,,,,,,1243 kWh/m²kilowatt hour per square meters,F,20220822-0002650539-RES-1,Not specified,Not specified,,,Yes,No,Yes,No,Non flood zone,Farming area,"€ 350,000350000 €",€ 639639 €,No,Dendermondesteenweg 473 9070- Destelbergen,http://www.immo09.be,2022PWTK147,East Falnders,7.58 m,,,,,,45.91 mmeters,25m²square meters,Yes,,,,,,,,,,10m²square meters,,,,,Yes,South West,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10128868,,,1971,Good,3,,Countryside,252m²square meters,43m²square meters,,,2,16m²square meters,14m²square meters,1,,1,,No,No,102m²square meters,Connected,Yes,,No,No,No,No,322 kWh/m²kilowatt hour per square meters,D,20220826-0002662486-RES-1,Not specified,Not specified,,,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 365,000365000 €",€ 917917 €,No,Casinostraat 3 9100- Sint-Niklaas,,"Beukenlaan 2, Kieldrecht",East Falnders,13 m,,,,,,13 mmeters,8m²square meters,Yes,81m²square meters,,,,,,,No,,,,,,,Yes,South,,Yes,No,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10043121,,,1979,To be done up,,,Countryside,165m²square meters,,Installed,13m²square meters,5,10m²square meters,12m²square meters,,,1,,No,,1904m²square meters,Connected,Yes,,No,No,Yes,No,272 kWh/m²kilowatt hour per square meters,C,20220322-0002568694-RES-1,Not specified,Not specified,,Fuel oil,Yes,,No,,,"Living area (residential, urban or rural)","€ 425,000425000 €",,No,Kapellestraat 80 9940- Evergem,,VK_Sint-Laureins_Sin,East Falnders,13 m,1,13m²square meters,16m²square meters,,,22 mmeters,,Yes,,,10m²square meters,,,,,No,No,,No,No,No,No,Yes,North East,No,No,No,All kind,No,,,,,,,55m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9850764,,,1979,To be done up,,,Countryside,165m²square meters,,Installed,13m²square meters,5,10m²square meters,12m²square meters,,,1,,No,,1904m²square meters,Connected,Yes,,No,No,Yes,No,272 kWh/m²kilowatt hour per square meters,C,20220322-0002568694-RES-1,Not specified,Not specified,,Fuel oil,Yes,,No,,,"Living area (residential, urban or rural)","€ 425,000425000 €",,No,Kapellestraat 80 9940- Evergem,,VK_Sint-Laureins_Sin,East Falnders,13 m,1,13m²square meters,16m²square meters,,,22 mmeters,,Yes,,,10m²square meters,,,,,No,No,,No,No,No,No,Yes,North East,No,No,No,All kind,No,,,,,,,55m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10052210,,,1977,As new,2,5,"Living area (residential, urban or rural)",,20m²square meters,Hyper equipped,20m²square meters,4,20m²square meters,10m²square meters,3,2,3,12m²square meters,Yes,No,223m²square meters,Connected,Yes,60m²square meters,No,,Yes,No,163 kWh/m²kilowatt hour per square meters,B,2548362,Not specified,Not specified,,Gas,,,No,,Non flood zone,"Living area (residential, urban or rural)","€ 525,000525000 €",€ 850850 €,No,BRUGSTRAAT 31BUS 4 9500- Geraardsbergen,http://www.casavista.be,4864091,East Falnders,6.5 m,1,20m²square meters,,Yes,,9.5 mmeters,20m²square meters,Yes,95m²square meters,Link to the virtual visit,,,,Geraardsbergen,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10053950,,,1850,To be done up,,,Urban,358m²square meters,,Installed,,5,,,1,,3,,No,No,120m²square meters,Connected,Yes,,,,,,431 kWh/m²kilowatt hour per square meters,E,20210920-0002466372-RES-1,Not specified,Not specified,,Gas,Yes,No,Yes,No,Non flood zone,"Living area (residential, urban or rural)","€ 595,000595000 €","€ 2,3052305 €",Yes,Ajuinlei 12 9000- Gent,http://www.i-moov.be,80-22-HL10WNGa,East Falnders,,,,,,,,,Yes,,,,,,,,,No,,No,No,No,No,Yes,South,,,,,No,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,
9855066,,,1997,To be done up,,1,,340m²square meters,46m²square meters,,26m²square meters,4,,,1,,2,,Yes,No,3144m²square meters,Connected,Yes,2872m²square meters,No,No,Yes,No,244 kWh/m²kilowatt hour per square meters,C,20211016-0002094472-RES-2,Not specified,Not specified,,Gas,Yes,No,No,No,Possible flood zone,Area of landscape interest,"€ 575,000575000 €","€ 1,3281328 €",No,Kotrijksesteenweg 345 9000- Gent,http://www.wolff.be,SA22017,East Falnders,10 m,1,,,,,29 mmeters,,Yes,200m²square meters,,,,,,,No,No,,No,No,No,No,,North East,No,No,No,All kind,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9949489,,,1992,As new,,3,,260m²square meters,,Installed,,5,,,2,,3,,Yes,,1059m²square meters,Connected,Yes,,No,No,Yes,No,264 kWh/m²kilowatt hour per square meters,C,Not specified,Not specified,Not specified,,Gas,Yes,,No,,Non flood zone,,"€ 649,000649000 €",,No,Keizersplein 21 9300- Aalst,http://www.bvinvest.be,erimp48,East Falnders,,2,,,,,,,Yes,,,,,Yes,,Yes,No,Yes,,No,No,No,No,Yes,East,No,No,No,All kind,No,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,
10142550,,,1968,,,,Urban,167m²square meters,45m²square meters,Hyper equipped,,3,14m²square meters,16m²square meters,1,,2,,No,No,50m²square meters,Connected,Yes,,No,No,Yes,No,87 kWh/m²kilowatt hour per square meters,A,Not specified,Not specified,Not specified,,Gas,,,No,,Non flood zone,"Living area (residential, urban or rural)","€ 335,000335000 €","€ 1,0231023 €",No,Dendermondsesteenweg 28 9300- Aalst,http://www.woonbemiddeling.com,6366CC,East Falnders,4.63 m,3,20m²square meters,,,,4.63 mmeters,8m²square meters,Yes,,,,,,,,No,No,,No,No,No,No,Yes,South East,No,Yes,Yes,,No,,,,,,,8m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10142549,,,1968,,,,Urban,167m²square meters,45m²square meters,Hyper equipped,,3,14m²square meters,16m²square meters,1,,2,,No,No,50m²square meters,Connected,Yes,,No,No,Yes,No,87 kWh/m²kilowatt hour per square meters,A,Not specified,Not specified,Not specified,,Gas,,,No,,Non flood zone,"Living area (residential, urban or rural)","€ 335,000335000 €","€ 1,0231023 €",No,Dendermondsesteenweg 28 9300- Aalst,http://www.woonbemiddeling.com,6366C,East Falnders,4.63 m,3,20m²square meters,,,,4.63 mmeters,8m²square meters,Yes,,,,,,,,No,No,,No,No,No,No,Yes,South East,No,Yes,Yes,,No,,,,,,,8m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
